Test_ID,regime_id,Validity_Label,Reference_Parameter
TRN-0507,1,Valid,23.1349
TRN-0943,1,Valid,25.1708
TRN-0438,3,Valid,13.9035
TRN-0323,1,Invalid,40.1544
TRN-0541,2,Valid,36.989
TRN-0513,3,Valid,13.1153
TRN-0830,1,Valid,53.7412
TRN-0124,0,Invalid,20.567
TRN-0434,2,Valid,51.9073
TRN-0742,0,Valid,21.1804
TRN-0351,1,Valid,43.8924
TRN-0736,0,Valid,20.9866
TRN-0518,0,Invalid,26.6751
TRN-0097,0,Invalid,17.5511
TRN-0220,2,Valid,17.0452
TRN-0713,2,Valid,47.8264
TRN-0890,1,Valid,29.1343
TRN-0531,2,Valid,41.019
TRN-0369,2,Valid,24.6977
TRN-0781,1,Valid,23.4299
TRN-0928,2,Valid,36.6371
TRN-0194,2,Valid,50.4105
TRN-0743,3,Invalid,15.879
TRN-0294,0,Valid,21.8126
TRN-0304,0,Invalid,17.0368
TRN-0382,1,Valid,41.6252
TRN-0417,0,Valid,25.9572
TRN-0297,2,Valid,31.7561
TRN-0622,0,Invalid,17.9097
TRN-0563,2,Valid,23.4619
TRN-0920,0,Valid,20.6462
TRN-0568,3,Valid,14.8344
TRN-0227,1,Valid,42.3603
TRN-0581,0,Valid,23.1496
TRN-0320,1,Valid,28.4389
TRN-0167,3,Invalid,14.3812
TRN-0450,1,Valid,23.8166
TRN-0287,2,Valid,54.3793
TRN-0650,3,Valid,21.5834
TRN-0901,0,Valid,20.0391
TRN-0031,0,Valid,21.3218
TRN-0199,2,Valid,25.6966
TRN-0630,0,Valid,20.1279
TRN-0605,1,Valid,32.9308
TRN-0704,1,Invalid,25.2527
TRN-0614,1,Valid,48.5665
TRN-0315,3,Valid,17.1108
TRN-0018,2,Invalid,26.5112
TRN-0669,1,Valid,22.7601
TRN-0168,2,Invalid,43.7129
TRN-0397,3,Valid,16.9303
TRN-0324,1,Valid,28.5561
TRN-0154,2,Invalid,24.836
TRN-0666,3,Valid,21.455
TRN-0826,0,Valid,20.0595
TRN-0131,1,Valid,34.9359
TRN-0206,3,Valid,17.0176
TRN-0641,1,Valid,37.4487
TRN-0478,1,Valid,29.3263
TRN-0026,1,Valid,28.9849
TRN-0363,1,Valid,36.6662
TRN-0430,0,Valid,19.0719
TRN-0936,3,Valid,14.5568
TRN-0129,2,Valid,47.0142
TRN-0688,3,Valid,16.7953
TRN-0157,0,Valid,16.6935
TRN-0422,0,Valid,20.6111
TRN-0561,0,Invalid,17.9232
TRN-0281,2,Valid,25.6006
TRN-0108,1,Invalid,30.0347
TRN-0332,2,Valid,37.3545
TRN-0185,3,Invalid,46.1158
TRN-0746,1,Valid,25.1387
TRN-0656,3,Valid,17.7576
TRN-0270,3,Valid,17.1733
TRN-0462,3,Valid,14.3644
TRN-0245,2,Valid,26.8149
TRN-0986,3,Valid,17.9657
TRN-0905,0,Valid,20.3892
TRN-0355,1,Valid,24.5341
TRN-0684,0,Valid,22.6681
TRN-0433,3,Valid,17.3311
TRN-0205,2,Valid,35.013
TRN-0806,2,Valid,46.4182
TRN-0177,2,Valid,36.0541
TRN-0744,1,Valid,48.0361
TRN-0295,0,Valid,29.2011
TRN-0948,0,Valid,21.0112
TRN-0844,2,Valid,37.785
TRN-0035,2,Valid,34.834
TRN-0971,2,Valid,16.9186
TRN-0455,2,Valid,46.962
TRN-0792,2,Valid,26.6744
TRN-0662,2,Valid,19.9671
TRN-0266,1,Valid,38.6543
TRN-0326,0,Valid,37.3695
TRN-0173,3,Valid,15.0183
TRN-0473,2,Valid,32.4963
TRN-0759,1,Valid,24.5945
TRN-0090,0,Valid,18.5905
TRN-0346,3,Invalid,17.4079
TRN-0250,2,Valid,29.2459
TRN-0585,2,Valid,20.122
TRN-0057,0,Valid,22.705
TRN-0187,1,Valid,32.1574
TRN-0557,3,Invalid,16.9847
TRN-0098,2,Valid,24.619
TRN-0734,0,Invalid,30.8448
TRN-0718,2,Invalid,45.356
TRN-0389,2,Valid,22.432
TRN-0680,1,Valid,22.4213
TRN-0709,2,Valid,54.4227
TRN-0406,0,Invalid,21.013
TRN-0496,3,Valid,15.0114
TRN-0500,2,Valid,25.4269
TRN-0238,2,Valid,39.469
TRN-0494,1,Valid,32.4537
TRN-0597,3,Valid,15.2692
TRN-0749,2,Valid,18.7843
TRN-0973,0,Valid,22.3777
TRN-0995,1,Valid,35.587
TRN-0420,1,Valid,42.4476
TRN-0621,1,Valid,50.4377
TRN-0128,1,Valid,49.6719
TRN-0436,3,Valid,13.2914
TRN-0733,1,Valid,34.3407
TRN-0451,3,Valid,16.184
TRN-0061,0,Valid,31.9481
TRN-0051,1,Valid,42.1474
TRN-0093,2,Valid,18.1969
TRN-0457,2,Valid,41.1164
TRN-0939,1,Valid,19.3513
TRN-0872,0,Invalid,21.4579
TRN-0652,1,Invalid,28.0562
TRN-0084,1,Valid,49.5151
TRN-0461,3,Valid,15.0741
TRN-0615,0,Valid,21.8358
TRN-0828,3,Valid,17.4859
TRN-0082,0,Valid,20.2629
TRN-0969,0,Valid,19.9597
TRN-0675,0,Valid,21.585
TRN-0458,2,Invalid,23.0209
TRN-0190,1,Valid,24.475
TRN-0202,1,Invalid,50.9883
TRN-0068,2,Valid,16.2433
TRN-0214,0,Valid,19.1633
TRN-0477,3,Valid,15.9991
TRN-0394,3,Valid,16.065
TRN-0530,1,Valid,42.1886
TRN-0037,1,Valid,39.6381
TRN-0267,1,Invalid,36.3126
TRN-0440,2,Valid,18.5615
TRN-0697,3,Valid,22.287
TRN-0974,3,Valid,16.6652
TRN-0869,0,Valid,28.7862
TRN-0025,1,Invalid,22.9904
TRN-0523,3,Invalid,14.6204
TRN-0172,0,Valid,19.8299
TRN-0723,3,Valid,17.7216
TRN-0041,3,Valid,16.1036
TRN-0958,2,Valid,19.7819
TRN-0364,2,Valid,36.1226
TRN-0553,1,Valid,29.8408
TRN-0253,0,Valid,22.5182
TRN-0566,2,Valid,27.8973
TRN-0777,2,Valid,41.548
TRN-0485,3,Valid,14.2112
TRN-0076,1,Invalid,19.0336
TRN-0234,1,Valid,39.1209
TRN-0176,2,Valid,22.1887
TRN-0931,3,Valid,16.1916
TRN-0945,0,Invalid,47.492
TRN-0715,2,Valid,36.8872
TRN-0103,2,Valid,16.6986
TRN-0522,1,Valid,25.8008
TRN-0612,2,Valid,36.1073
TRN-0706,3,Valid,16.8909
TRN-0409,2,Valid,18.268
TRN-0741,2,Valid,39.7644
TRN-0162,3,Valid,13.4887
TRN-0980,2,Valid,33.6704
TRN-0072,3,Valid,17.8875
TRN-0670,3,Valid,16.1612
TRN-0884,3,Valid,17.7695
TRN-0765,0,Invalid,18.6845
TRN-0208,1,Valid,31.0727
TRN-0116,3,Valid,18.4577
TRN-0807,2,Valid,25.0497
TRN-0515,1,Valid,48.7143
TRN-0771,3,Valid,20.7145
TRN-0252,1,Valid,44.555
TRN-0762,1,Valid,57.0971
TRN-0722,3,Valid,16.6493
TRN-0309,2,Valid,35.7241
TRN-0454,1,Valid,25.9462
TRN-0312,2,Valid,46.3609
TRN-0191,2,Valid,16.8215
TRN-0913,0,Valid,22.5101
TRN-0426,1,Valid,36.7578
TRN-0286,3,Valid,14.8376
TRN-0400,3,Valid,17.266
TRN-0498,3,Valid,14.0908
TRN-0379,0,Valid,28.7559
TRN-0120,1,Invalid,49.6937
TRN-0062,1,Valid,25.5005
TRN-0216,3,Valid,13.2191
TRN-0246,1,Valid,42.2102
TRN-0303,2,Valid,37.2738
TRN-0213,1,Valid,27.5048
TRN-0156,2,Valid,25.1633
TRN-0703,0,Valid,21.8275
TRN-0702,2,Valid,18.0492
TRN-0784,3,Valid,15.9125
TRN-0929,2,Invalid,20.992
TRN-0997,3,Valid,18.0475
TRN-0368,0,Valid,19.4551
TRN-0015,2,Valid,45.2592
TRN-0342,0,Valid,20.871
TRN-0435,3,Valid,16.4881
TRN-0219,0,Valid,27.1426
TRN-0863,3,Valid,12.5632
TRN-0217,2,Invalid,17.1996
TRN-0791,0,Valid,19.3063
TRN-0993,1,Valid,54.5231
TRN-0481,1,Valid,34.7951
TRN-0237,3,Valid,15.0726
TRN-0424,0,Valid,27.2886
TRN-0224,1,Valid,29.6462
TRN-0024,2,Valid,28.5819
TRN-0761,3,Valid,14.9056
TRN-0551,2,Invalid,26.582
TRN-0768,1,Invalid,49.1874
TRN-0109,1,Valid,37.4384
TRN-0873,0,Valid,21.7451
TRN-0589,1,Invalid,22.5337
TRN-0203,3,Invalid,13.8386
TRN-0963,0,Valid,17.5945
TRN-0445,0,Valid,19.8208
TRN-0935,2,Invalid,29.1563
TRN-0415,2,Valid,36.2324
TRN-0209,1,Invalid,30.7826
TRN-0544,0,Valid,20.0523
TRN-0111,3,Valid,16.8476
TRN-0526,0,Valid,22.4432
TRN-0940,3,Valid,15.3632
TRN-0838,0,Valid,32.5568
TRN-0708,3,Valid,16.3153
TRN-0075,3,Valid,14.8973
TRN-0321,1,Invalid,44.1173
TRN-0867,3,Valid,17.0184
TRN-0416,1,Valid,25.4373
TRN-0188,1,Valid,43.1445
TRN-0050,2,Valid,25.2323
TRN-0150,0,Valid,19.5769
TRN-0142,1,Valid,31.2509
TRN-0133,3,Valid,15.0277
TRN-0906,2,Valid,34.7399
TRN-0894,1,Valid,41.2056
TRN-0944,2,Invalid,27.0719
TRN-0030,1,Valid,29.1257
TRN-0302,0,Valid,19.6812
TRN-0623,2,Invalid,50.0012
TRN-0230,1,Valid,24.5185
TRN-0060,1,Valid,28.3885
TRN-0546,2,Valid,40.7055
TRN-0210,0,Valid,23.9181
TRN-0893,3,Valid,16.0594
TRN-0797,0,Invalid,18.6989
TRN-0482,3,Valid,15.6428
TRN-0469,3,Valid,15.7717
TRN-0078,1,Valid,57.4073
TRN-0240,2,Valid,44.9059
TRN-0787,0,Valid,20.2559
TRN-0658,3,Valid,14.6794
TRN-0243,3,Valid,16.775
TRN-0506,3,Valid,16.2324
TRN-0732,0,Valid,33.7325
TRN-0489,1,Valid,25.8404
TRN-0842,3,Valid,14.9845
TRN-0988,3,Valid,16.6707
TRN-0721,2,Valid,28.9001
TRN-0646,0,Invalid,20.3064
TRN-0681,3,Valid,16.121
TRN-0137,2,Invalid,44.5411
TRN-0474,1,Valid,21.7249
TRN-0793,1,Invalid,38.8282
TRN-0300,0,Valid,21.2878
TRN-0096,0,Valid,19.1808
TRN-0399,3,Valid,13.2902
TRN-0392,3,Valid,18.7934
TRN-0922,0,Valid,20.4154
TRN-0674,3,Valid,21.7744
TRN-0805,2,Invalid,30.0341
TRN-0849,1,Valid,31.9025
TRN-0720,3,Valid,15.6642
TRN-0244,1,Valid,23.4988
TRN-0584,3,Valid,16.9156
TRN-0393,0,Valid,18.0061
TRN-0046,3,Valid,20.5183
TRN-0055,3,Valid,18.0216
TRN-0040,0,Invalid,19.5066
TRN-0604,0,Invalid,21.4041
TRN-0383,2,Valid,27.4728
TRN-0631,3,Invalid,18.9129
TRN-0596,3,Valid,16.1452
TRN-0954,2,Valid,28.6045
TRN-0069,2,Invalid,18.0376
TRN-0195,3,Valid,15.6746
TRN-0104,2,Valid,21.7428
TRN-0751,3,Valid,22.9613
TRN-0537,1,Valid,26.1312
TRN-0348,3,Valid,17.3091
TRN-0730,2,Valid,22.7637
TRN-0961,0,Valid,20.6785
TRN-0818,0,Valid,28.5424
TRN-0794,3,Valid,16.3831
TRN-0488,3,Valid,16.7146
TRN-0577,0,Valid,19.5382
TRN-0388,1,Valid,35.8424
TRN-0490,1,Invalid,33.2397
TRN-0774,3,Valid,17.6295
TRN-0590,3,Valid,17.0471
TRN-0968,3,Invalid,17.1679
TRN-0601,1,Valid,25.3258
TRN-0694,1,Valid,26.5544
TRN-0996,1,Valid,44.5171
TRN-0550,1,Valid,38.0388
TRN-0362,0,Valid,20.6107
TRN-0403,1,Valid,32.9934
TRN-0895,3,Valid,15.8924
TRN-0710,2,Valid,38.455
TRN-0081,2,Invalid,22.2325
TRN-0505,2,Valid,31.4153
TRN-0671,2,Valid,26.3962
TRN-0923,2,Valid,31.9883
TRN-0456,2,Valid,18.4806
TRN-0864,1,Valid,41.152
TRN-0728,2,Valid,33.532
TRN-0795,1,Valid,32.7368
TRN-0339,1,Valid,35.8431
TRN-0755,2,Invalid,16.6688
TRN-0926,1,Valid,44.069
TRN-0340,3,Valid,17.1411
TRN-0624,1,Valid,20.5506
TRN-0985,0,Valid,26.3345
TRN-0860,2,Valid,45.3171
TRN-0560,1,Valid,50.7461
TRN-0811,3,Valid,13.4197
TRN-0395,0,Valid,26.0598
TRN-0839,2,Invalid,26.1826
TRN-0779,0,Valid,17.9676
TRN-0543,1,Valid,49.5902
TRN-0158,2,Valid,33.0264
TRN-0799,0,Valid,21.9518
TRN-0946,2,Valid,31.2415
TRN-0927,1,Invalid,22.272
TRN-0952,0,Valid,17.1858
TRN-0608,1,Valid,45.0975
TRN-0212,0,Valid,19.7482
TRN-0480,0,Valid,31.3074
TRN-0904,1,Valid,46.9314
TRN-0607,0,Valid,35.5228
TRN-0855,2,Valid,37.0514
TRN-0879,3,Valid,15.8432
TRN-0667,1,Valid,25.1861
TRN-0232,0,Valid,20.0864
TRN-0299,2,Valid,34.8475
TRN-0629,3,Valid,14.9091
TRN-0858,2,Valid,35.2273
TRN-0994,0,Valid,29.066
TRN-0306,2,Valid,25.4666
TRN-0654,0,Valid,21.3468
TRN-0917,1,Valid,26.1378
TRN-0231,2,Valid,23.0156
TRN-0460,3,Valid,15.5132
TRN-0492,1,Valid,53.2122
TRN-0825,3,Valid,24.4596
TRN-0279,0,Valid,20.5945
TRN-0580,1,Valid,33.0419
TRN-0992,3,Valid,15.1198
TRN-0934,0,Valid,21.7565
TRN-0639,3,Valid,14.831
TRN-0925,2,Valid,27.0547
TRN-0248,0,Valid,19.7809
TRN-0603,2,Valid,17.5078
TRN-0331,2,Valid,17.8132
TRN-0880,2,Valid,27.8627
TRN-0957,3,Valid,13.8318
TRN-0049,3,Invalid,18.2907
TRN-0672,2,Valid,36.7346
TRN-0149,0,Valid,22.5606
TRN-0043,0,Invalid,28.2093
TRN-0475,3,Valid,12.4217
TRN-0094,2,Valid,19.4108
TRN-0699,0,Valid,21.9877
TRN-0429,2,Valid,31.3554
TRN-0222,2,Valid,43.3669
TRN-0942,1,Invalid,42.6685
TRN-0606,1,Valid,31.1359
TRN-0657,1,Valid,20.3016
TRN-0465,3,Valid,15.6287
TRN-0197,1,Valid,43.6497
TRN-0824,2,Valid,23.1994
TRN-0564,3,Valid,15.0896
TRN-0359,3,Valid,15.3801
TRN-0005,0,Invalid,29.9111
TRN-0682,0,Invalid,18.6498
TRN-0011,1,Valid,20.9826
TRN-0753,1,Valid,26.0354
TRN-0610,2,Valid,18.4186
TRN-0752,1,Valid,43.4268
TRN-0472,0,Valid,26.4916
TRN-0625,2,Valid,21.489
TRN-0516,1,Valid,29.074
TRN-0192,2,Valid,21.2644
TRN-0593,1,Valid,20.6349
TRN-0989,1,Valid,28.7248
TRN-0345,3,Valid,15.9588
TRN-0972,1,Valid,27.14
TRN-0611,0,Valid,21.0417
TRN-0387,1,Valid,54.9288
TRN-0739,2,Valid,34.6014
TRN-0385,3,Invalid,24.3642
TRN-0750,1,Invalid,49.6786
TRN-0903,3,Valid,16.0267
TRN-0738,1,Valid,34.8402
TRN-0282,3,Valid,16.3934
TRN-0291,1,Invalid,28.7441
TRN-0778,3,Valid,17.9512
TRN-0484,0,Valid,20.0187
TRN-0466,2,Valid,19.8007
TRN-0164,3,Valid,13.716
TRN-0643,2,Valid,24.5014
TRN-0822,2,Valid,35.5169
TRN-0981,2,Valid,41.5242
TRN-0908,1,Valid,61.5848
TRN-0619,0,Valid,20.4688
TRN-0725,3,Valid,12.1006
TRN-0027,2,Valid,27.5462
TRN-0977,0,Valid,26.2595
TRN-0846,1,Valid,28.84
TRN-0802,0,Invalid,29.7294
TRN-0613,0,Valid,19.9859
TRN-0375,0,Valid,19.3717
TRN-0567,1,Valid,49.668
TRN-0661,3,Valid,16.2105
TRN-0861,3,Valid,15.1523
TRN-0638,3,Valid,16.9161
TRN-0514,0,Valid,20.7535
TRN-0259,0,Valid,20.3868
TRN-0933,3,Invalid,14.744
TRN-0785,1,Valid,41.8587
TRN-0571,2,Valid,54.0826
TRN-0101,0,Valid,25.5682
TRN-0308,0,Valid,21.1597
TRN-0447,3,Valid,16.3916
TRN-0354,3,Valid,18.4616
TRN-0719,3,Valid,13.4854
TRN-0517,3,Valid,14.8727
TRN-0956,1,Valid,52.2691
TRN-0200,2,Valid,20.8623
TRN-0463,3,Invalid,15.7596
TRN-0356,0,Valid,32.4715
TRN-0464,0,Valid,28.6182
TRN-0052,0,Valid,19.7674
TRN-0737,0,Invalid,17.8267
TRN-0549,3,Valid,17.3213
TRN-0431,3,Valid,14.773
TRN-0565,0,Valid,20.1548
TRN-0660,0,Valid,28.9021
TRN-0834,0,Valid,21.1305
TRN-0887,1,Valid,38.4158
TRN-0336,2,Valid,44.1841
TRN-0023,0,Valid,19.4098
TRN-0305,3,Invalid,17.5207
TRN-0536,0,Valid,18.926
TRN-0261,2,Valid,25.316
TRN-0271,1,Valid,39.3592
TRN-0827,1,Valid,27.8574
TRN-0148,2,Invalid,33.6087
TRN-0916,3,Valid,15.4539
TRN-0691,1,Valid,35.129
TRN-0915,3,Valid,21.2765
TRN-0497,0,Valid,19.733
TRN-0178,1,Valid,41.2567
TRN-0327,0,Valid,25.7542
TRN-0856,2,Invalid,38.1997
TRN-0343,0,Valid,18.4245
TRN-0198,0,Valid,18.5978
TRN-0290,1,Invalid,23.8671
TRN-0711,0,Valid,20.0657
TRN-0284,2,Valid,34.353
TRN-0105,1,Valid,43.6185
TRN-0439,3,Valid,15.9175
TRN-0602,2,Invalid,30.5097
TRN-0269,1,Valid,45.2513
TRN-0184,1,Valid,34.5505
TRN-0288,3,Valid,15.9873
TRN-0668,1,Valid,54.4579
TRN-0014,1,Valid,27.0328
TRN-0813,0,Valid,23.0728
TRN-0636,2,Valid,18.3368
TRN-0028,0,Valid,20.5491
TRN-0123,3,Valid,18.1844
TRN-0088,2,Valid,26.3719
TRN-0714,1,Valid,32.4503
TRN-0583,2,Valid,27.6727
TRN-0421,0,Valid,30.0385
TRN-0511,1,Valid,22.7241
TRN-0449,1,Valid,47.5433
TRN-0038,1,Valid,45.698
TRN-0891,0,Valid,20.3503
TRN-0313,2,Valid,37.4216
TRN-0255,3,Valid,17.2442
TRN-0647,1,Valid,23.9903
TRN-0423,2,Valid,18.5143
TRN-0398,0,Invalid,26.8098
TRN-0289,3,Valid,17.4577
TRN-0579,1,Valid,41.4578
TRN-0275,3,Valid,17.1723
TRN-0885,3,Valid,17.5958
TRN-0201,3,Valid,23.7241
TRN-0171,2,Invalid,22.1384
TRN-0689,0,Valid,22.6997
TRN-0769,3,Valid,23.1383
TRN-0575,0,Valid,31.127
TRN-0428,1,Valid,25.319
TRN-0272,0,Valid,23.6436
TRN-0763,1,Valid,19.1371
TRN-0727,3,Valid,16.6021
TRN-0042,3,Valid,17.8278
TRN-0773,2,Invalid,17.8539
TRN-0764,0,Valid,23.6919
TRN-0620,0,Valid,20.9953
TRN-0914,2,Valid,19.2031
TRN-0982,3,Valid,14.96
TRN-0113,0,Valid,22.1831
TRN-0258,2,Valid,24.268
TRN-0002,1,Valid,17.3604
TRN-0283,0,Valid,21.6272
TRN-0677,1,Valid,23.3267
TRN-0486,1,Valid,45.6002
TRN-0554,2,Valid,36.6035
TRN-0341,2,Valid,42.9304
TRN-0757,3,Valid,14.0025
TRN-0910,3,Valid,16.575
TRN-0106,1,Valid,32.9814
TRN-0712,1,Valid,19.2082
TRN-0153,1,Valid,28.3823
TRN-0911,1,Valid,53.2861
TRN-0174,0,Valid,18.0087
TRN-0798,1,Valid,19.6213
TRN-0857,1,Invalid,21.1871
TRN-0912,1,Valid,24.2523
TRN-0380,1,Valid,25.6345
TRN-0218,1,Valid,23.7821
TRN-0254,2,Invalid,29.6875
TRN-0441,0,Valid,20.3549
TRN-0932,0,Valid,22.5047
TRN-0509,0,Valid,25.2925
TRN-0673,3,Valid,16.9981
TRN-0645,1,Valid,27.7197
TRN-0263,0,Valid,18.5921
TRN-0071,1,Valid,46.5089
TRN-0013,0,Valid,20.3992
TRN-0260,1,Valid,43.5279
TRN-0045,3,Valid,23.4447
TRN-0504,3,Valid,12.6076
TRN-0876,0,Valid,36.1658
TRN-0372,1,Valid,41.0583
TRN-0009,0,Invalid,23.3409
TRN-0835,2,Valid,29.4849
TRN-0083,3,Valid,14.7517
TRN-0365,2,Valid,48.6475
TRN-0695,1,Valid,21.5556
TRN-0407,3,Valid,17.5448
TRN-0816,2,Invalid,19.8088
TRN-0545,3,Valid,17.7183
TRN-0491,3,Valid,15.6403
TRN-0165,3,Valid,25.6903
TRN-0829,3,Invalid,18.1979
TRN-0965,0,Valid,21.424
TRN-0930,2,Valid,35.4494
TRN-0949,3,Valid,15.0201
TRN-0446,0,Valid,36.2413
TRN-0333,2,Valid,28.5206
TRN-0056,1,Valid,51.0559
TRN-0221,3,Valid,12.8904
TRN-0627,2,Valid,24.863
TRN-0649,0,Invalid,21.0209
TRN-0758,0,Valid,18.4735
TRN-0823,2,Valid,32.5492
TRN-0265,0,Valid,19.6328
TRN-0508,3,Invalid,17.6239
TRN-0618,3,Invalid,18.4418
TRN-0588,3,Valid,14.962
TRN-0136,2,Valid,39.9339
TRN-0166,1,Valid,29.6963
TRN-0410,2,Invalid,19.4256
TRN-0503,2,Valid,18.5584
TRN-0587,0,Valid,23.4365
TRN-0975,1,Valid,44.8108
TRN-0143,0,Invalid,25.9811
TRN-0226,1,Valid,25.3231
TRN-0322,3,Valid,18.7618
TRN-0717,0,Valid,19.068
TRN-0921,2,Valid,29.9729
TRN-0659,1,Valid,27.4947
TRN-0276,0,Valid,20.5299
TRN-0573,1,Valid,33.8011
TRN-0877,2,Valid,35.4263
TRN-0468,1,Invalid,31.1116
TRN-0181,2,Invalid,48.7663
TRN-0353,1,Valid,49.4057
TRN-0147,3,Valid,23.809
TRN-0144,1,Valid,40.0378
TRN-0019,3,Valid,15.9881
TRN-0626,3,Invalid,14.4551
TRN-0476,1,Valid,27.4893
TRN-0796,0,Valid,29.0277
TRN-0870,2,Valid,44.2781
TRN-0854,3,Valid,13.2914
TRN-0134,0,Valid,18.4064
TRN-0527,3,Valid,18.5575
TRN-0770,2,Valid,40.2031
TRN-0251,1,Valid,53.6774
TRN-0132,3,Valid,23.3231
TRN-0215,1,Invalid,27.4716
TRN-0780,3,Valid,22.3588
TRN-0425,1,Valid,48.8125
TRN-0273,3,Valid,17.7087
TRN-0970,2,Valid,20.1454
TRN-0318,0,Valid,27.6115
TRN-0767,1,Valid,35.2858
TRN-0437,0,Valid,19.2354
TRN-0502,0,Valid,19.7031
TRN-0413,2,Valid,40.8523
TRN-0735,1,Valid,29.7533
TRN-0249,2,Valid,40.5863
TRN-0941,2,Valid,29.618
TRN-0644,0,Valid,15.8306
TRN-0004,3,Valid,15.4348
TRN-0102,1,Valid,29.6686
TRN-0310,1,Valid,34.339
TRN-0653,1,Valid,23.001
TRN-0115,0,Valid,23.0506
TRN-0772,0,Valid,23.1953
TRN-0831,1,Valid,43.4195
TRN-0705,3,Valid,12.5064
TRN-0991,0,Valid,24.1357
TRN-0862,3,Valid,17.5038
TRN-0229,3,Valid,20.6136
TRN-0696,2,Valid,30.0941
TRN-0371,3,Valid,13.5288
TRN-0819,3,Valid,16.4621
TRN-0107,3,Valid,16.8455
TRN-0017,3,Valid,15.0326
TRN-0196,0,Valid,19.7101
TRN-0548,2,Valid,21.1399
TRN-0525,3,Valid,15.1242
TRN-0687,2,Valid,57.2566
TRN-0637,1,Valid,50.626
TRN-0790,3,Valid,20.4399
TRN-0337,1,Valid,37.6123
TRN-0776,0,Valid,19.2865
TRN-0882,2,Valid,19.8233
TRN-0235,1,Valid,49.1812
TRN-0112,3,Valid,15.6204
TRN-0296,3,Valid,16.4399
TRN-0809,0,Valid,18.8413
TRN-0853,1,Valid,36.753
TRN-0529,0,Invalid,31.6224
TRN-0874,2,Invalid,20.8285
TRN-0293,1,Valid,33.6492
TRN-0386,1,Valid,33.0113
TRN-0001,0,Valid,20.1476
TRN-0483,0,Valid,22.8391
TRN-0127,0,Valid,22.4999
TRN-0207,1,Valid,26.7392
TRN-0471,0,Valid,26.8539
TRN-0059,2,Invalid,55.6198
TRN-0063,0,Valid,19.9811
TRN-0698,3,Valid,16.0087
TRN-0960,0,Valid,20.9081
TRN-0899,3,Valid,14.8891
TRN-0100,1,Valid,40.8155
TRN-0292,3,Invalid,16.7479
TRN-0789,3,Valid,22.5855
TRN-0883,2,Invalid,19.4832
TRN-0987,3,Valid,21.0958
TRN-0845,1,Valid,18.2318
TRN-0519,2,Valid,18.5291
TRN-0170,0,Valid,21.3338
TRN-0803,1,Valid,19.2982
TRN-0414,2,Valid,27.6443
TRN-0347,0,Valid,23.7916
TRN-0022,2,Valid,21.5988
TRN-0534,2,Valid,38.8217
TRN-0690,1,Invalid,45.6354
TRN-0021,1,Valid,45.8638
TRN-0280,1,Valid,43.5179
TRN-0366,1,Valid,30.8484
TRN-0775,0,Valid,22.324
TRN-0274,0,Valid,31.928
TRN-0404,0,Valid,19.5522
TRN-0139,3,Valid,16.6329
TRN-0325,0,Valid,19.3421
TRN-0155,0,Valid,20.6212
TRN-0756,3,Valid,17.5281
TRN-0679,2,Valid,39.1206
TRN-0837,0,Invalid,18.3588
TRN-0160,0,Valid,21.2713
TRN-0058,2,Valid,55.8411
TRN-0357,3,Invalid,17.6333
TRN-0964,3,Valid,19.9834
TRN-0594,0,Valid,24.0277
TRN-0520,3,Valid,17.8961
