Test_ID,attention_score
TST-0195,2.0148432747916214
TST-0286,1.2494072035697337
TST-0015,1.7972306284569624
TST-0263,1.6482906889516737
TST-0147,1.137631486053194
TST-0002,1.6245200564555147
TST-0114,1.6138044035097439
TST-0271,1.3665503496673612
TST-0223,1.471664943592042
TST-0344,1.5131794832372798
TST-0183,1.388804734044905
TST-0327,1.5047178395346061
TST-0250,1.5575295433752252
TST-0185,1.3071872255632144
TST-0242,1.494954023503753
TST-0158,1.7518582208900635
TST-0078,1.4855531182207478
TST-0120,3.6191275030609447
TST-0093,1.5728326092554847
TST-0051,1.7069499007716955
TST-0010,1.5982212333109287
TST-0013,2.67899316464179
TST-0049,1.479259629067813
TST-0041,1.4603330950027078
TST-0055,1.3327123292853882
TST-0012,1.543089776629683
TST-0127,1.414864325411587
TST-0225,1.4216148339104713
TST-0050,1.7620696117117243
TST-0172,4.155385766250946
TST-0079,1.5033783456794445
TST-0046,1.843961896171847
TST-0325,1.6005262149363206
TST-0280,1.6462997429271138
TST-0140,1.6742173197248822
TST-0244,1.4229233366837646
TST-0203,1.4140412302733711
TST-0238,1.431773973609688
TST-0092,2.649911611955601
TST-0307,1.6542992202216393
TST-0176,1.8242590927371072
TST-0115,6.681970076864798
TST-0028,1.4477377787186885
TST-0317,1.3519781029330067
TST-0251,1.4238266368496304
TST-0301,1.643128050808572
TST-0116,1.5766846071834337
TST-0056,1.5158957185417394
TST-0166,1.4248083970426237
TST-0247,1.416637888517909
TST-0291,1.3884589096492592
TST-0167,7.982754411252349
TST-0313,1.769242870116215
TST-0105,1.5483601403345866
TST-0104,1.4025259106982768
TST-0045,1.5407457478568487
TST-0289,1.6249629077279995
TST-0048,1.1097133241156727
TST-0110,1.075648144169756
TST-0037,2.2552609321204975
TST-0305,1.6170530322596242
TST-0240,1.3328583938471508
TST-0155,1.507560948167196
TST-0119,1.6676156914906275
TST-0295,1.381150032796162
TST-0229,1.447093670905319
TST-0106,1.5260079567731877
TST-0052,1.6319518108939026
TST-0276,1.5368648757757233
TST-0216,2.237701602018957
TST-0208,1.4851691769596762
TST-0188,1.562896091994633
TST-0145,1.4713379840521414
TST-0039,1.4215393551941689
TST-0173,1.3020341594350733
TST-0082,1.2047002892204337
TST-0296,1.5793284596897952
TST-0297,1.6718206125235002
TST-0125,1.563842061408985
TST-0199,6.142613029267038
TST-0330,1.445838515971558
TST-0133,1.8149607107452106
TST-0175,1.0827486103442532
TST-0270,1.4068540079646272
TST-0255,1.4699791539285962
TST-0025,1.5028991749962377
TST-0073,1.582154191326332
TST-0077,1.3738453760319558
TST-0293,1.4753791987265252
TST-0212,1.1965219015380972
TST-0081,1.5276497766481367
TST-0328,1.6469217673444516
TST-0290,6.048141782683263
TST-0337,1.440816614895617
TST-0171,1.8137813394870772
TST-0057,1.299142281898669
TST-0284,1.272202874028105
TST-0063,1.579324402388386
TST-0022,1.4556542238962835
TST-0044,1.3028783191772217
TST-0035,1.3528093866958126
TST-0258,13.343769536652811
TST-0334,1.5622179848099922
TST-0018,2.4805770208873845
TST-0321,2.714259909739769
TST-0282,1.729719587887602
TST-0142,13.255923115989784
TST-0312,1.4581991745821061
TST-0101,1.7489487380508
TST-0134,4.7864993728082315
TST-0287,1.5269245211710758
TST-0153,1.5089874958516576
TST-0299,1.5297076838359802
TST-0204,1.7629910078164903
TST-0090,1.748340087542025
TST-0186,1.3372730418010368
TST-0209,1.38362541653382
TST-0130,2.1948370136363238
TST-0224,2.536407864014329
TST-0302,1.711353099277734
TST-0118,1.328251479011201
TST-0292,1.3248790994164261
TST-0345,2.1229299669968063
TST-0108,2.2472324602712193
TST-0071,1.439706278385388
TST-0053,1.4470049976235095
TST-0273,1.1682365910098085
TST-0300,1.8402005217569457
TST-0148,1.4439089407293004
TST-0347,1.4136769132690186
TST-0146,1.4190765805449341
TST-0241,1.6577933889798977
TST-0096,1.911175575256364
TST-0220,1.464391548092077
TST-0174,1.3632733958601044
TST-0246,1.5263220078290913
TST-0136,1.5349323388667406
TST-0109,1.3821420344566122
TST-0040,1.8498402031257983
TST-0043,1.412334625881047
TST-0181,1.5190305582924015
TST-0268,1.3014747654919647
TST-0253,1.6923219469395467
TST-0017,1.5560295207280568
TST-0201,1.3694905144260858
TST-0129,1.4975936387517081
TST-0068,1.3560466487761187
TST-0161,1.7089271307599305
TST-0298,6.889228741603354
TST-0094,2.1841962562637507
TST-0336,7.486187424829511
TST-0149,1.5311993267965474
TST-0191,1.3540624408105493
TST-0032,1.535320952329485
TST-0054,1.5837468004210615
TST-0349,1.5846578918119165
TST-0100,1.434828909566289
TST-0162,1.0891679364202123
TST-0326,7.276637445251219
TST-0340,1.3762492472162604
TST-0319,1.6586872646416695
TST-0064,2.5130648310269237
TST-0259,1.4845303919008537
TST-0066,1.448044614220784
TST-0123,1.5482567008915913
TST-0218,1.363157543000663
TST-0261,1.2258868285609317
TST-0196,1.4303512561117047
TST-0281,1.5539303458847848
TST-0303,1.3975804304042465
TST-0254,1.7865255693577655
TST-0322,1.4938462366612661
TST-0139,1.5979307929347097
TST-0257,1.6778500818608155
TST-0033,1.4859410837736085
TST-0112,1.3029074295601732
TST-0021,1.4666113514414962
TST-0083,1.34801984848743
TST-0150,1.526372643067398
TST-0265,1.1482645629276707
TST-0227,1.3633101187504928
TST-0170,1.4317106445416714
TST-0318,1.8028059160207657
TST-0097,1.3882078265491553
TST-0152,1.2012091977937924
TST-0084,2.022509492999104
TST-0124,1.5319005108244903
TST-0098,1.5732326667546601
TST-0341,1.5180617207488714
TST-0042,1.6482702217910026
TST-0189,1.361987524566768
TST-0285,1.431893018264576
TST-0020,1.3760375394946378
TST-0314,1.438611963381625
