Test_ID,Applied_Voltage_kV,Load_Current_A,Ambient_Temperature_C,Test_Duration_min,Sensor_S1,Sensor_S2,Sensor_S3,Sensor_S4,Reference_Parameter,Validity_Label,S3_consistency_residual,S3_abs_residual,S3_consistency_z,Sensor_S1_missing,Sensor_S2_missing,Sensor_S3_missing,Sensor_S4_missing,Sensor_S1_imputed,Sensor_S2_imputed,Sensor_S3_imputed,S1_clean,S2_clean,S3_clean,S4_clean,S3_minus_S1,S3_minus_S2,S2_minus_S1,S3_to_S1_ratio,power_proxy,missing_count,imputed_count,negative_sensor_count,zero_sensor_count,sentinel_count,flag_negative_sensor,flag_sentinel,flag_s3_s1_inconsistency,input_support_score,attention_score,predicted_validity,validity_probability
TRN-0633,27.3166,35.2106,18.0,41.4065,15.4562,13.3195,20.1433,61.2734,18.9191,Valid,-0.178099209545067,0.178099209545067,-0.1067020310785378,0,0,0,0,0,0,0,15.4562,13.3195,20.1433,61.2734,4.687099999999999,6.8238,-2.136700000000001,1.3032496323484217,51335.213598994334,0,0,0,0,0,0,0,0,0.2739648819070795,1.558772267264379,Valid,0.0
TRN-0138,17.7127,48.0925,30.733,23.2218,11.7089,11.4861,14.8118,65.0676,17.5449,Valid,0.2876622301061058,0.2876622301061058,0.1715923701329404,0,0,0,0,0,0,0,11.7089,11.4861,14.8118,65.0676,3.1029,3.3256999999999994,-0.22279999999999944,1.2650024639355841,53709.435475526254,0,0,0,0,0,0,0,0,0.508904438524108,1.1937834930847244,Valid,0.01
TRN-0591,10.2728,88.373,37.5953,58.4948,10.6857,12.8873,12.4997,83.903,31.5651,Valid,0.1326194297397727,0.1326194297397727,0.0789536507867997,0,0,0,0,0,0,0,10.6857,12.8873,12.4997,83.903,1.814,-0.38759999999999906,2.201599999999999,1.1697584905448493,456831.93615342927,0,0,0,0,0,0,0,0,0.2942501666594434,1.6504533174679126,Valid,0.04
TRN-0262,30.7232,28.9017,38.9336,45.1598,17.0465,14.7144,22.609,53.4406,22.15,Valid,0.4885746625356475,0.4885746625356475,0.2916383857945122,0,0,0,0,0,0,0,17.0465,14.7144,22.609,53.4406,5.5625,7.894600000000002,-2.3321000000000023,1.3263125413941035,37722.35409045983,0,0,0,0,0,0,0,0,0.3128036294096215,1.6660311269752692,Valid,0.0
TRN-0729,27.8122,59.7061,25.295,56.0876,17.8995,16.2175,22.741,53.7565,22.7879,Valid,0.7817817352697887,0.7817817352697887,0.4668308336678914,0,0,0,0,0,0,0,17.8995,16.2175,22.741,53.7565,4.8415,6.5234999999999985,-1.6819999999999986,1.2704817059237934,199942.1072136036,0,0,0,0,0,0,0,0,0.311060178743375,1.9247104761811415,Valid,0.02
TRN-0307,30.2039,105.7357,25.4332,14.8461,20.5299,20.3649,25.1377,39.4088,47.2164,Valid,-0.1980638216403996,0.1980638216403996,-0.1186309700062669,0,0,0,0,0,0,0,20.5299,20.3649,25.1377,39.4088,4.6077999999999975,4.7728,-0.1650000000000027,1.2244427764174317,165979.96592998397,0,0,0,0,0,0,0,0,0.27639922979965104,1.5658325104069648,Valid,0.0
TRN-0091,13.8779,70.3753,33.7208,28.7584,10.7783,12.0405,12.8023,60.3125,23.2446,Valid,-0.3729932987910569,0.3729932987910569,-0.2231520616070206,0,0,0,0,0,0,0,10.7783,12.0405,12.8023,60.3125,2.024000000000001,0.7618000000000009,1.2622,1.1877836135720723,142431.23447602824,0,0,0,0,0,0,0,0,0.5156011526521995,1.1919497563026216,Valid,0.0
TRN-0542,29.8252,29.6371,52.0927,40.8807,16.4051,14.7736,21.9869,50.5573,29.9678,Valid,0.3173614537361473,0.3173614537361473,0.1893377800207969,0,0,0,0,0,0,0,16.4051,14.7736,21.9869,50.5573,5.581799999999998,7.2132999999999985,-1.6315000000000008,1.340247032784297,35907.87747962829,0,0,0,0,0,0,0,0,0.24686559157653,1.735606596867737,Valid,0.01
TRN-0937,18.9717,104.0403,31.8576,48.305,15.2581,16.7679,18.2016,48.5457,45.3832,Valid,-0.3649717009754702,0.3649717009754702,-0.218359123482903,0,0,0,0,0,0,0,15.2581,16.7679,18.2016,48.5457,2.9434999999999985,1.4336999999999982,1.5098000000000003,1.1929131458614468,522871.87028366746,0,0,0,0,0,0,0,0,0.354037142869417,1.590284837744069,Valid,0.02
TRN-0092,22.8334,18.3011,31.7408,26.9067,12.3229,10.8597,16.5175,28.9254,17.4823,Valid,0.2005433484531806,0.2005433484531806,0.119538475285028,0,0,0,0,0,0,0,12.3229,10.8597,16.5175,28.9254,4.194599999999998,5.657799999999998,-1.4632000000000005,1.34038956707466,9011.86805929911,0,0,0,0,0,0,0,0,0.3677514813395462,1.4240355126059356,Valid,0.01
TRN-0268,31.5596,18.2128,38.845,24.4453,16.4547,13.878,22.1,70.4553,20.7222,Valid,0.2196667864452486,0.2196667864452486,0.1309648091805373,0,0,0,0,0,0,0,16.4547,13.878,22.1,70.4553,5.645300000000002,8.222000000000001,-2.576699999999999,1.3430804918470154,8108.654731293954,0,0,0,0,0,0,0,0,0.2933963784040248,1.6641720523724879,Valid,0.03
TRN-0782,16.2048,93.1196,42.8621,12.8741,13.1151,14.8764,15.7166,32.2974,36.8118,Valid,-0.0565580498928195,0.0565580498928195,-0.0340806816742093,0,0,0,0,0,0,0,13.1151,14.8764,15.7166,32.2974,2.6014999999999997,0.8401999999999994,1.7613000000000003,1.1983582295535455,111634.66713214626,0,0,0,0,0,0,0,0,0.32657898344999803,1.4609227147742132,Valid,0.02
TRN-0919,22.6926,50.8001,43.6073,31.9818,14.0837,13.6443,18.1982,49.2786,21.2594,Valid,0.2033114125995396,0.2033114125995396,0.1211924051481418,0,0,0,0,0,0,0,14.0837,13.6443,18.1982,49.2786,4.1145,4.5539000000000005,-0.4394000000000009,1.2921453225038004,82533.83728740782,0,0,0,0,0,0,0,0,0.42024605281324307,1.2807002995216559,Valid,0.0
TRN-0053,26.4931,101.8024,42.852,30.4912,18.56,19.2644,22.9828,68.2684,48.1264,Valid,-0.115369347718385,0.115369347718385,-0.0692206772159043,0,0,0,0,0,0,0,18.56,19.2644,22.9828,68.2684,4.422800000000002,3.7184000000000026,0.7043999999999997,1.2382967466073564,316002.5228835973,0,0,0,0,0,0,0,0,0.33198960529742033,1.4452414666210638,Valid,0.01
TRN-0408,31.1979,55.0224,21.7758,25.6304,18.3841,16.3698,23.7608,30.0802,22.1385,Valid,0.2468277945852897,0.2468277945852897,0.1471936247353283,0,0,0,0,0,0,0,18.3841,16.3698,23.7608,30.0802,5.3767,7.390999999999998,-2.0142999999999986,1.2924639811228285,77595.1261659095,0,0,0,0,0,0,0,0,0.3010944707435908,1.5850046832481468,Valid,0.01
TRN-0501,14.229,84.784,39.199,37.0993,11.9475,13.5096,14.4506,42.1564,30.3824,Valid,0.1342000680761739,0.1342000680761739,0.0798980887799709,0,0,0,0,0,0,0,11.9475,13.5096,14.4506,42.1564,2.5031,0.940999999999999,1.562100000000001,1.2095072529757247,266681.88710894086,0,0,0,0,0,0,0,0,0.4247458142054413,1.3904064603690884,Valid,0.04
TRN-0311,20.0873,84.2981,33.9545,11.1637,14.4518,15.2547,17.5092,45.2027,29.9962,Valid,-0.2057150916036079,0.2057150916036079,-0.1232026356952796,0,0,0,0,0,0,0,14.4518,15.2547,17.5092,45.2027,3.0573999999999995,2.2545,0.8028999999999993,1.211557583444565,79331.14627364297,0,0,0,0,0,0,0,0,0.39686291169679966,1.3294768123016802,Valid,0.0
TRN-0562,30.7015,55.1126,37.3272,53.9099,18.3063,16.9658,23.7367,31.425,23.8068,Valid,0.1871233415600741,0.1871233415600741,0.1115199652396965,0,0,0,0,0,0,0,18.3063,16.9658,23.7367,31.425,5.430399999999999,6.7708999999999975,-1.3404999999999987,1.2966403387684355,163745.85903208374,0,0,0,0,0,0,0,0,0.32310271371599025,1.465314537807716,Valid,0.0
TRN-0126,27.1839,35.792,32.8674,28.726,15.6886,13.7668,20.7464,46.0688,20.623,Valid,0.597107233819866,0.597107233819866,0.3564870494367935,0,0,0,0,0,0,0,15.6886,13.7668,20.7464,46.0688,5.057800000000002,6.979600000000001,-1.9217999999999993,1.3223861132375656,36799.938225664,0,0,0,0,0,0,0,0,0.41272228531514393,1.5310424788065056,Valid,0.0
TRN-0676,28.9435,99.9672,33.2564,54.1579,20.242,19.9359,25.0693,38.6309,45.2288,Valid,0.1981807968367093,0.1981807968367093,0.1181268408484599,0,0,0,0,0,0,0,20.242,19.9359,25.0693,38.6309,4.8272999999999975,5.133399999999998,-0.3061000000000007,1.2384787874326708,541223.7824412351,0,0,0,0,0,0,0,0,0.3038611555832577,1.5104045296819444,Valid,0.0
TRN-0360,31.1338,64.9587,39.5961,9.0647,18.6229,17.3282,24.1833,48.479,28.4009,Valid,0.1610537906938454,0.1610537906938454,0.0959432999545607,0,0,0,0,0,0,0,18.6229,17.3282,24.1833,48.479,5.560399999999998,6.8551,-1.2947000000000024,1.2985779343829722,38249.704587268134,0,0,0,0,0,0,0,0,0.30867617574079464,1.7585909484729714,Valid,0.07
TRN-0367,24.0314,97.8945,45.1767,31.2893,17.3437,18.1727,21.6014,52.8876,45.131,Valid,0.3036744031026153,0.3036744031026153,0.1811597102276798,0,0,0,0,0,0,0,17.3437,18.1727,21.6014,52.8876,4.257700000000003,3.4287000000000027,0.8290000000000006,1.2454889986052582,299855.7853123313,0,0,0,0,0,0,0,0,0.3337251784740308,1.5937093532796183,Valid,0.02
TRN-0405,24.6143,33.6779,42.1612,26.794,14.0177,13.065,18.7117,,20.1763,Valid,0.4652411742556239,0.4652411742556239,0.2776965293069345,0,0,0,1,0,0,0,14.0177,13.065,18.7117,49.4543,4.694000000000001,5.646700000000001,-0.9527000000000001,1.3348614003285844,30389.780211697544,1,0,0,0,0,0,0,0,0.3757830790087724,2.5261303712893897,Valid,0.0
TRN-0868,28.3339,101.6303,50.6215,7.7931,19.0319,19.8449,23.5519,54.1915,55.1412,Valid,-0.3947829955788933,0.3947829955788933,-0.2361714962444009,0,0,0,0,0,0,0,19.0319,19.8449,23.5519,54.1915,4.52,3.7070000000000007,0.8129999999999988,1.237495343347042,80492.73129574319,0,0,0,0,0,0,0,0,0.23708186972930728,1.7620077567857861,Valid,0.0
TRN-0020,9.4876,21.4776,37.3279,15.6388,6.1571,6.5039,8.2616,52.9346,13.5381,Valid,0.4888257212872426,0.4888257212872426,0.2917883944448555,0,0,0,0,0,0,0,6.1571,6.5039,8.2616,52.9346,2.1045,1.7576999999999998,0.3468,1.3417983437034584,7213.979854764287,0,0,0,0,0,0,0,0,0.2946305206830774,1.8625273530787005,Valid,0.04
TRN-0316,22.2248,47.0868,39.5367,20.27,13.0209,12.675,16.6458,61.0745,19.7399,Valid,-0.6735518210514968,0.6735518210514968,-0.4027370312088837,0,0,0,0,0,0,0,13.0209,12.675,16.6458,61.0745,3.624900000000002,3.9708000000000006,-0.34589999999999854,1.2783899128401934,44941.96970304479,0,0,0,0,0,0,0,0,0.4509511173302618,1.54083479654836,Valid,0.01
TRN-0067,30.9408,29.3598,18.0356,35.4607,16.7021,13.7519,21.9045,43.0005,19.7801,Valid,-0.2060920480596664,0.2060920480596664,-0.1234278687487075,0,0,0,0,0,0,0,16.7021,13.7519,21.9045,43.0005,5.202399999999997,8.1526,-2.9502000000000024,1.311481004495839,30567.04737367763,0,0,0,0,0,0,0,0,0.2559886843263049,1.691450500096098,Valid,0.02
TRN-0317,25.933,70.3816,24.6378,10.6208,16.6609,15.9391,20.9687,48.0101,24.0015,Valid,0.235875732218922,0.235875732218922,0.1406497218296653,0,0,0,0,0,0,0,16.6609,15.9391,20.9687,48.0101,4.307799999999997,5.0295999999999985,-0.7218000000000018,1.2585567054860747,52610.87220480205,0,0,0,0,0,0,0,0,0.32866711362824325,1.5633154945731786,Valid,0.02
TRN-0087,17.6142,31.0902,47.58,51.1189,10.8589,10.9508,3.2181,51.1091,20.3176,Invalid,-10.806610665215404,10.806610665215404,-6.457281919229795,0,0,0,0,0,0,0,10.8589,10.9508,3.2181,51.1091,-7.6408000000000005,-7.7326999999999995,0.09189999999999898,0.2963557115769447,49411.55614177515,0,0,0,0,0,0,0,1,0.2880968375631069,9.921088244103581,Invalid,0.99
TRN-0801,11.2999,91.5588,48.8199,21.2042,10.7983,13.3691,12.9707,43.4485,39.321,Valid,0.3648733023894142,0.3648733023894142,0.2177263075925812,0,0,0,0,0,0,0,10.7983,13.3691,12.9707,43.4485,2.1724000000000014,-0.39839999999999876,2.5708,1.2011787029637047,177755.10243592926,0,0,0,0,0,0,0,0,0.27671917399373186,1.7442879596051175,Valid,0.02
TRN-0012,30.2939,43.3171,28.5824,30.3499,17.0338,15.1496,22.2573,38.2619,21.3846,Valid,-0.1564196494523066,0.1564196494523066,-0.0937484035754504,0,0,0,0,0,0,0,17.0338,15.1496,22.2573,38.2619,5.223500000000001,7.107700000000001,-1.8841999999999999,1.3066542364861415,56947.67683852827,0,0,0,0,0,0,0,0,0.3617496730257608,1.4102490575239288,Valid,0.01
TRN-0578,30.4866,60.5018,36.4074,15.0767,18.0583,16.8822,23.2278,38.5682,23.1545,Valid,-0.1009930702660959,0.1009930702660959,-0.0606307915262876,0,0,0,0,0,0,0,18.0583,16.8822,23.2278,38.5682,5.169499999999999,6.3455999999999975,-1.1760999999999981,1.2862665443222538,55187.77492910851,0,0,0,0,0,0,0,0,0.35306342623404696,1.4345039390581937,Valid,0.02
TRN-0859,16.4487,20.9785,23.3935,58.5618,9.8089,8.7051,12.9031,61.0478,15.4105,Valid,0.0842152907452824,0.0842152907452824,0.0500319760175928,0,0,0,0,0,0,0,9.8089,8.7051,12.9031,61.0478,3.0942000000000007,4.198,-1.1037999999999997,1.3154468743214078,25772.899564792053,0,0,0,0,0,0,0,0,0.26796441121446335,1.874103153588666,Valid,0.09
TRN-0533,17.5311,72.927,28.746,36.0802,12.6016,13.0752,,56.541,23.5153,Invalid,0.9347314263432428,0.9347314263432428,0.5582189114886876,0,0,1,0,0,0,1,12.6016,13.0752,16.9269,56.541,4.3253,3.8516999999999992,0.47360000000000113,1.3432331265608126,191887.0352997858,1,1,0,0,0,0,0,0,0.5212040518913521,4.195810807705984,Invalid,0.83
TRN-0967,26.4104,30.8751,38.339,14.2777,14.5452,13.0594,19.2013,49.5647,19.7664,Valid,-0.0949779723423205,0.0949779723423205,-0.0570367454494394,0,0,0,0,0,0,0,14.5452,13.0594,19.2013,49.5647,4.6561,6.1419,-1.4857999999999993,1.3201115693757601,13610.528779002776,0,0,0,0,0,0,0,0,0.34229757047161136,1.3724416045062167,Valid,0.0
TRN-0788,20.1531,58.459,22.9316,43.5898,13.2875,12.8528,16.6355,61.1192,18.6948,Valid,-0.0952887744796022,0.0952887744796022,-0.0572224510217058,0,0,0,0,0,0,0,13.2875,12.8528,16.6355,61.1192,3.3480000000000008,3.7827,-0.4346999999999994,1.251965191371446,148966.16605385378,0,0,0,0,0,0,0,0,0.3736221901181329,1.30997807078544,Valid,0.0
TRN-0700,24.4753,49.2252,36.9219,22.1919,14.2996,13.6599,18.5642,60.5208,20.5104,Valid,-0.3247753441697902,0.3247753441697902,-0.1943416327767217,0,0,0,0,0,0,0,14.2996,13.6599,18.5642,60.5208,4.2646,4.904299999999999,-0.6396999999999995,1.2982312105015452,53773.64371933618,0,0,0,0,0,0,0,0,0.48324372675675187,1.347854179263218,Valid,0.03
TRN-0151,25.549,19.7697,34.1753,21.4309,13.6684,11.704,18.6616,46.3824,18.466,Valid,0.5995931811255986,0.5995931811255986,0.3579724133119359,0,0,0,0,0,0,0,13.6684,11.704,18.6616,46.3824,4.9932,6.957599999999999,-1.9643999999999995,1.365308766710978,8376.075203202981,0,0,0,0,0,0,0,0,0.3496070077261882,1.6987583978595597,Valid,0.01
TRN-0236,22.9858,28.4295,35.2647,27.6778,12.9089,11.5537,17.0815,35.1347,18.4935,Valid,0.1502053295663685,0.1502053295663685,0.0894612992208841,0,0,0,0,0,0,0,12.9089,11.5537,17.0815,35.1347,4.172599999999999,5.527799999999999,-1.3552,1.3232333326361405,22370.207376285452,0,0,0,0,0,0,0,0,0.4258185583403944,1.2378241825400953,Valid,0.0
TRN-0130,27.9593,15.8726,33.4249,45.782,14.8659,12.4537,20.2947,51.5568,19.0968,Valid,0.3734328086118097,0.3734328086118097,0.2228406482314531,0,0,0,0,0,0,0,14.8659,12.4537,20.2947,51.5568,5.428799999999999,7.840999999999999,-2.4122000000000003,1.3651838333475717,11534.29101905432,0,0,0,0,0,0,0,0,0.31180104876204834,1.6392385507073564,Valid,0.01
TRN-0558,10.8607,21.0036,44.5708,31.3091,6.8793,7.0831,9.3319,47.3849,15.0884,Valid,0.4382783426434482,0.4382783426434482,0.2615861250534263,0,0,0,0,0,0,0,6.8793,7.0831,9.3319,47.3849,2.4525999999999994,2.2487999999999992,0.2038000000000002,1.3565168599757824,13812.047441685934,0,0,0,0,0,0,0,0,0.2914591400929452,1.7586678448675361,Valid,0.02
TRN-0335,19.3366,109.2824,43.2863,42.829,15.6796,17.4192,19.0115,46.0047,53.154,Valid,-0.0006438042040066,0.0006438042040066,-0.0006716868574344,0,0,0,0,0,0,0,15.6796,17.4192,19.0115,46.0047,3.331900000000001,1.5923000000000016,1.7395999999999994,1.2124982700462577,511491.454895271,0,0,0,0,0,0,0,0,0.31618634943962926,1.4882989879781758,Valid,0.03
TRN-0747,8.1623,16.276,27.7498,24.8249,4.8959,4.9854,6.5243,58.8781,11.9183,Valid,-0.2036697491874886,0.2036697491874886,-0.1219805350778634,0,0,0,0,0,0,0,4.8959,4.9854,6.5243,58.8781,1.6284,1.5389,0.08950000000000014,1.332602110741415,6576.318978382399,0,0,0,0,0,0,0,0,0.2800689754380733,2.0418425842017167,Valid,0.12
TRN-0065,29.5509,88.0838,38.0994,34.3734,19.4764,19.0039,24.1937,67.1977,37.4703,Valid,-0.1249409330738906,0.1249409330738906,-0.0749397393545604,0,0,0,0,0,0,0,19.4764,19.0039,24.1937,67.1977,4.717299999999998,5.189799999999998,-0.47250000000000014,1.242205314018343,266694.81738705904,0,0,0,0,0,0,0,0,0.37261496350856665,1.409709812337427,Valid,0.02
TRN-0257,30.6035,29.4846,36.2652,41.0898,16.7405,14.3861,22.2693,,21.5145,Valid,0.0062374738949344,0.0062374738949344,0.0034399054838051,0,0,0,1,0,0,0,16.7405,14.3861,22.2693,49.4543,5.5288,7.8832,-2.3544,1.330264131737922,35721.07400257696,1,0,0,0,0,0,0,0,0.33226052461667294,2.338918856250459,Valid,0.0
TRN-0443,9.6318,92.6893,34.5091,30.5353,10.1782,12.5837,11.7777,64.1771,32.9683,Valid,0.1626398367494932,0.1626398367494932,0.0968909690825179,0,0,0,0,0,0,0,10.1782,12.5837,11.7777,64.1771,1.599499999999999,-0.8060000000000009,2.4055,1.1571484573417132,262338.1163155525,0,0,0,0,0,0,0,0,0.35505637873432927,1.4267782116138594,Valid,0.01
TRN-0507,10.6681,75.8719,33.3623,5.2737,9.6188,11.4513,11.3341,67.399,23.1349,Valid,0.273996082164242,0.273996082164242,0.1634267897852052,0,0,0,0,0,0,0,9.6188,11.4513,11.3341,67.399,1.7152999999999992,-0.11720000000000041,1.8324999999999996,1.1783266329202884,30358.292471920257,0,0,0,0,0,0,0,0,0.3123631777959378,1.7787004341933295,Valid,0.06
TRN-0943,24.4524,69.9741,29.5096,22.3974,15.7061,15.1518,19.6866,30.7207,25.1708,Valid,-0.2477309129970457,0.2477309129970457,-0.1483072640751051,0,0,0,0,0,0,0,15.7061,15.1518,19.6866,30.7207,3.9804999999999993,4.534799999999999,-0.5542999999999996,1.253435764807454,109666.06205199992,0,0,0,0,0,0,0,0,0.4792433335966548,1.2298205968817955,Valid,0.01
TRN-0438,9.2579,44.797,28.7596,5.9031,6.9661,7.9532,8.5018,71.9907,13.9035,Valid,-0.2138713144670134,0.2138713144670134,-0.128076012846507,0,0,0,0,0,0,0,6.9661,7.9532,8.5018,71.9907,1.5356999999999994,0.5485999999999995,0.9870999999999999,1.2204515863229262,11846.171123847898,0,0,0,0,0,0,0,0,0.289518515671401,1.629038981503705,Valid,0.02
TRN-0323,23.8319,94.5641,40.9548,12.1292,23.0025,17.4622,20.4693,53.8698,40.1544,Invalid,-0.3942264101972696,0.3942264101972696,-0.2358389341593601,0,0,0,0,0,0,0,23.0025,17.4622,20.4693,53.8698,-2.533200000000001,3.007100000000001,-5.540300000000002,0.8898724530496889,108463.78218165826,0,0,0,0,0,0,0,0,0.3354469690611839,1.6049449960369924,Invalid,0.99
TRN-0541,29.5137,89.7528,32.8875,44.0727,19.4791,18.9202,24.4323,46.1615,36.989,Valid,-0.1451593937905677,0.1451593937905677,-0.0870203538914347,0,0,0,0,0,0,0,19.4791,18.9202,24.4323,46.1615,4.9532000000000025,5.5121,-0.5588999999999977,1.2542821514946012,355030.5043282999,0,0,0,0,0,0,0,0,0.35673255415193617,1.3735552455875624,Valid,0.0
TRN-0513,8.5988,18.8074,39.8048,25.8064,5.467,6.0593,7.4333,30.0082,13.1153,Valid,0.1905078798776598,0.1905078798776598,0.1135422409892202,0,0,0,0,0,0,0,5.467,6.0593,7.4333,30.0082,1.9663000000000004,1.3739999999999997,0.5923000000000007,1.359664606430206,9128.195801894466,0,0,0,0,0,0,0,0,0.29193444987008915,2.6496733412490423,Invalid,0.28
TRN-0830,29.6897,109.4003,33.5982,31.3241,20.6293,20.8849,25.3653,48.7288,53.7412,Valid,-0.105028809543068,0.105028809543068,-0.0630421625628675,0,0,0,0,0,0,0,20.6293,20.8849,25.3653,48.7288,4.736000000000001,4.480400000000003,0.2555999999999976,1.229575783193912,374900.1615927432,0,0,0,0,0,0,0,0,0.3192639106060567,1.5445143413507543,Valid,0.03
TRN-0124,28.7059,44.4546,28.3929,31.8519,16.5947,25.0,21.7478,58.4106,20.567,Invalid,0.1847430186864969,0.1847430186864969,0.1100977124029475,0,0,0,0,0,0,0,16.5947,25.0,21.7478,58.4106,5.153100000000002,-3.2521999999999984,8.4053,1.3105260652340416,62946.089839722204,0,0,0,0,1,0,1,0,0.3875557830303457,4.5749861463422565,Invalid,0.94
TRN-0434,18.3304,91.2825,54.8353,42.0785,14.206,15.9913,17.3458,,51.9073,Valid,-0.0155523325250115,0.0155523325250115,-0.0095795946592175,0,0,0,1,0,0,0,14.206,15.9913,17.3458,49.4543,3.139800000000001,1.3544999999999998,1.7853000000000012,1.2210184281159877,350618.8827047906,1,0,0,0,0,0,0,0,0.24959620114727032,2.550387192364677,Valid,0.01
TRN-0742,31.1274,41.4679,25.8498,14.7618,17.5962,15.2001,23.0903,49.2011,21.1804,Valid,0.3557000822384921,0.3557000822384921,0.2122452703238158,0,0,0,0,0,0,0,17.5962,15.2001,23.0903,49.2011,5.4940999999999995,7.890199999999998,-2.396099999999999,1.312231440747752,25384.195396966337,0,0,0,0,0,0,0,0,0.3005943357597392,1.6110565988043375,Valid,0.0
