Test_ID,Validity_Label,Reference_Parameter
TST-0289,Valid,43.7135921503509
TST-0048,Valid,27.68812598294849
TST-0110,Valid,18.845698072038864
TST-0037,Invalid,43.34698798255648
TST-0305,Valid,18.803910729700743
TST-0240,Valid,33.58957262257116
TST-0155,Valid,33.32687759353921
TST-0119,Valid,53.234123825973285
TST-0295,Valid,22.81016291760254
TST-0229,Valid,18.83205955784534
TST-0106,Valid,21.05728428609908
TST-0052,Valid,16.132180674360757
TST-0276,Invalid,21.49173555539133
TST-0216,Valid,21.11933301975199
TST-0208,Valid,21.248938947178235
TST-0188,Valid,21.87117093795229
TST-0145,Valid,50.16060835099244
TST-0039,Valid,21.889479492553694
TST-0173,Valid,18.3937563326878
TST-0082,Valid,20.495906047238144
TST-0296,Valid,36.29242564323667
TST-0297,Valid,34.33893609931684
TST-0125,Valid,17.758368013088752
TST-0199,Invalid,21.58991258921204
TST-0330,Valid,21.250867378451566
TST-0133,Valid,36.91267005093331
TST-0175,Valid,32.273455983425386
TST-0270,Valid,46.075802887240336
TST-0255,Valid,16.656060489899584
TST-0025,Valid,13.727319067097053
TST-0073,Valid,13.739722718054873
TST-0077,Valid,20.8911185043784
TST-0293,Valid,14.65911010227599
TST-0212,Invalid,33.16803092979025
TST-0081,Valid,13.838922323070303
TST-0328,Valid,20.78426912534432
TST-0290,Invalid,49.31878437392033
TST-0337,Valid,16.445617867132764
TST-0171,Valid,24.15073607219188
TST-0057,Valid,30.81946245921809
TST-0284,Valid,19.72923065812921
TST-0063,Invalid,24.57831176347604
TST-0022,Valid,22.07354724596905
TST-0044,Valid,17.819521205619765
TST-0035,Valid,22.407648578973173
TST-0258,Invalid,46.07520711966454
TST-0334,Valid,26.87679464395251
TST-0018,Valid,26.872231466862885
TST-0321,Valid,20.93924723915428
TST-0282,Valid,14.940760481424851
TST-0142,Invalid,46.41015717071394
TST-0312,Valid,25.11730471672843
TST-0101,Valid,21.41256342799493
TST-0134,Invalid,17.609221416645653
TST-0287,Valid,33.91041124298989
TST-0153,Valid,32.436110118290124
TST-0299,Valid,28.9421895140466
TST-0204,Valid,23.15939224819208
TST-0090,Valid,19.923677141544104
TST-0186,Valid,32.70692747625624
TST-0209,Valid,47.15764923553888
TST-0130,Valid,22.28482244558053
TST-0224,Valid,21.995554308641253
TST-0302,Valid,29.69056979873765
TST-0118,Valid,15.29827872821579
TST-0292,Valid,20.301426627268693
TST-0345,Valid,21.886837305513104
TST-0108,Valid,24.66226110770651
TST-0071,Valid,15.3159272907412
TST-0053,Valid,15.98926610885789
TST-0273,Valid,16.86865036092216
TST-0300,Valid,15.062792799766342
TST-0148,Valid,19.89963166530426
TST-0347,Valid,38.99355439591887
TST-0146,Valid,28.38369976128963
TST-0241,Valid,18.89387467940065
TST-0096,Valid,16.425556570603966
TST-0220,Valid,22.72129986635669
TST-0174,Valid,22.8073514832799
TST-0246,Valid,15.039804954547572
TST-0136,Valid,19.22073957158458
TST-0109,Valid,22.339380540989293
TST-0040,Valid,38.49028785040264
TST-0043,Invalid,20.50317535922421
TST-0181,Valid,37.55268964465262
TST-0268,Valid,18.11453958977996
TST-0253,Valid,15.948767170585642
TST-0017,Valid,26.77566367807608
TST-0201,Valid,23.201446543450995
TST-0129,Valid,17.508400929938556
TST-0068,Valid,43.265827714955314
TST-0161,Valid,14.991861590334434
TST-0298,Invalid,21.18081694880255
TST-0094,Valid,44.18550075223389
TST-0336,Invalid,27.31919904491685
TST-0149,Valid,20.437077392114023
TST-0191,Valid,48.77302880034714
TST-0032,Valid,18.59481455391472
TST-0054,Valid,15.953999346634935
TST-0349,Valid,55.31400808677836
TST-0100,Valid,18.17521663668003
TST-0162,Valid,19.87610443334408
TST-0326,Invalid,22.6851026132543
TST-0340,Valid,19.400378115072204
TST-0319,Valid,28.91985913833779
TST-0064,Valid,18.509859852007867
TST-0259,Valid,28.98254144867797
TST-0066,Valid,43.93499074658181
TST-0123,Valid,48.21540417139614
TST-0218,Valid,21.43254372359281
TST-0261,Valid,22.785690650387703
TST-0196,Valid,20.702289622208166
TST-0281,Invalid,25.37240824679076
TST-0303,Valid,36.84595651528446
TST-0254,Valid,22.83347623423316
TST-0322,Valid,18.963046926696936
TST-0139,Valid,17.647243708192033
TST-0257,Valid,39.30017376106006
TST-0033,Valid,15.85425699151742
TST-0112,Valid,50.84739519164539
TST-0021,Valid,24.417934215196848
TST-0083,Valid,17.85512796555621
TST-0150,Valid,26.83240831004428
TST-0265,Valid,22.05827056983677
TST-0227,Valid,34.804969178361674
TST-0170,Valid,24.17321700928755
TST-0318,Valid,29.695381142227006
TST-0097,Valid,16.14809792763823
TST-0152,Valid,33.43158592064635
TST-0084,Valid,57.88801207845109
TST-0124,Valid,17.581158590959998
TST-0098,Valid,34.27949407057575
TST-0341,Valid,30.23453155260528
TST-0042,Valid,31.28817110182525
TST-0189,Valid,19.33947998451669
TST-0285,Valid,23.27819379194082
TST-0020,Valid,21.94941702434043
TST-0314,Valid,43.69797382419095
