Test_ID,Reference_Parameter,predicted_Reference_Parameter,regression_residual,regression_abs_residual,Validity_Label,regime_id,Sensor_S1_imputed,Sensor_S2_imputed,Sensor_S3_imputed,Sensor_S4_missing,S3_consistency_residual
TRN-0946,31.2415,26.00593367823925,5.23556632176075,5.23556632176075,Valid,2,0,0,0,0,0.5781097283864369
TRN-0768,49.1874,44.2928197123815,4.894580287618496,4.894580287618496,Invalid,0,0,1,0,0,-0.1864477735508956
TRN-0589,22.5337,27.270158340240357,-4.7364583402403575,4.7364583402403575,Invalid,0,0,0,0,0,-0.1019557025088957
TRN-0713,47.8264,43.118567496567515,4.707832503432485,4.707832503432485,Valid,2,0,0,0,0,-0.2394070107235908
TRN-0088,26.3719,21.792844582055185,4.579055417944815,4.579055417944815,Valid,2,0,0,0,0,0.346840565195059
TRN-0154,24.836,29.185621555773935,-4.349621555773936,4.349621555773936,Invalid,0,0,0,0,0,0.0407120538876917
TRN-0264,38.2856,34.12794781778633,4.157652182213674,4.157652182213674,Valid,1,0,0,0,0,-0.1711532663747359
TRN-0295,29.2011,33.10114569839535,-3.900045698395349,3.900045698395349,Valid,2,0,0,0,0,0.5775695416442908
TRN-0829,18.1979,14.70773556735038,3.490164432649621,3.490164432649621,Invalid,1,0,0,0,0,-0.0904933573787269
TRN-0376,32.7707,29.45216431286291,3.3185356871370892,3.3185356871370892,Valid,0,0,0,0,0,-0.4390029764232661
TRN-0651,46.9167,43.6633926988628,3.2533073011371982,3.2533073011371982,Valid,1,0,0,0,0,0.1208218205531785
TRN-0732,33.7325,30.629707693120764,3.1027923068792376,3.1027923068792376,Valid,0,0,0,0,0,0.04638957162188
TRN-0601,25.3258,22.27076226398544,3.0550377360145617,3.0550377360145617,Valid,0,0,0,0,0,0.2311714879485933
TRN-0857,21.1871,24.159421233744045,-2.9723212337440437,2.9723212337440437,Invalid,1,0,0,0,0,9.39273653208414
TRN-0571,54.0826,51.170232621479855,2.9123673785201447,2.9123673785201447,Valid,2,0,0,0,0,-0.1490833328932712
TRN-0953,43.8394,41.04570485801524,2.793695141984756,2.793695141984756,Valid,2,0,0,0,0,0.6683191960057826
TRN-0463,15.7596,18.53997608696844,-2.78037608696844,2.78037608696844,Invalid,2,0,0,0,0,-0.0953134147555552
TRN-0760,42.5878,39.88842833456174,2.699371665438264,2.699371665438264,Valid,2,0,0,0,0,-0.1728862571305889
TRN-0269,45.2513,42.5621818261883,2.6891181738117,2.6891181738117,Valid,0,0,0,0,0,-0.1891174936585962
TRN-0284,34.353,36.9747442040133,-2.6217442040132966,2.6217442040132966,Valid,1,0,0,0,0,-0.7548870897171192
TRN-0109,37.4384,40.031822148343124,-2.593422148343123,2.593422148343123,Valid,0,0,0,0,0,-0.2022666203103078
TRN-0542,29.9678,27.421861044439574,2.545938955560427,2.545938955560427,Valid,1,0,0,0,0,0.3173614537361473
TRN-0646,20.3064,22.837582104683598,-2.531182104683598,2.531182104683598,Invalid,1,0,0,0,0,11.49471436378484
TRN-0801,39.321,41.85042220640778,-2.52942220640778,2.52942220640778,Valid,2,0,0,0,0,0.3648733023894142
TRN-0247,22.9371,25.453048578963664,-2.5159485789636626,2.5159485789636626,Valid,0,0,0,0,0,-0.4090711149362214
TRN-0049,18.2907,15.790438736017784,2.5002612639822175,2.5002612639822175,Invalid,1,0,0,0,0,-0.2628987404903693
TRN-0273,17.7087,20.15529616673489,-2.4465961667348886,2.4465961667348886,Valid,0,0,0,0,0,-0.2747750951249337
TRN-0543,49.5902,47.195887481431086,2.394312518568917,2.394312518568917,Valid,0,0,0,0,0,0.1505673552470483
TRN-0560,50.7461,48.360236172480604,2.385863827519394,2.385863827519394,Valid,0,0,0,0,0,-0.0053005579447358
TRN-0724,42.3237,39.94066960201684,2.3830303979831626,2.3830303979831626,Valid,2,0,0,0,0,0.6175480552250328
TRN-0006,46.7583,44.38996890125486,2.368331098745138,2.368331098745138,Valid,0,0,0,0,0,0.0479837393029463
TRN-0058,55.8411,53.48121783682031,2.359882163179684,2.359882163179684,Valid,1,0,0,0,0,0.3235092182731911
TRN-0398,26.8098,24.480975568962382,2.328824431037617,2.328824431037617,Invalid,1,0,0,0,0,-0.5852826970783092
TRN-0297,31.7561,34.06684152907188,-2.31074152907188,2.31074152907188,Valid,2,0,0,0,0,-0.3017425944466865
TRN-0312,46.3609,44.06373139151056,2.297168608489443,2.297168608489443,Valid,2,0,0,0,0,-0.0867802015569818
TRN-0137,44.5411,42.245538454265,2.295561545734998,2.295561545734998,Invalid,2,0,0,0,0,0.7617391601474139
TRN-0486,45.6002,43.3347950412312,2.265404958768798,2.265404958768798,Valid,0,0,0,0,0,0.196416785383473
TRN-0215,27.4716,25.262263549236838,2.2093364507631605,2.2093364507631605,Invalid,0,0,0,0,0,-0.2240955241770059
TRN-0473,32.4963,30.304418764996022,2.191881235003976,2.191881235003976,Valid,2,0,0,0,0,-0.1731512624985249
TRN-0792,26.6744,24.49399756574567,2.1804024342543293,2.1804024342543293,Valid,1,0,0,0,0,0.5025960125275901
TRN-0018,26.5112,24.33856369622542,2.1726363037745777,2.1726363037745777,Invalid,0,0,0,0,0,0.6660592492990638
TRN-0512,20.0655,17.906956017780022,2.158543982219978,2.158543982219978,Invalid,0,0,0,0,0,0.0338693632120925
TRN-0240,44.9059,42.7726672617712,2.1332327382288057,2.1332327382288057,Valid,2,0,0,0,0,0.0213199244364954
TRN-0696,30.0941,27.99201940065985,2.1020805993401517,2.1020805993401517,Valid,1,0,0,0,0,0.4867569505603129
TRN-0456,18.4806,20.580216922765533,-2.0996169227655344,2.0996169227655344,Valid,2,0,0,0,0,0.5368645157318479
TRN-0878,45.3496,47.441751262042466,-2.0921512620424636,2.0921512620424636,Invalid,2,0,0,0,0,0.4540753876067551
TRN-0938,41.4065,39.383247979170285,2.023252020829716,2.023252020829716,Valid,1,0,0,0,0,0.158233135567329
TRN-0351,43.8924,41.89733428018942,1.995065719810583,1.995065719810583,Valid,2,0,0,0,0,-0.1263978483446202
TRN-0078,57.4073,55.41330886287815,1.9939911371218528,1.9939911371218528,Valid,2,0,0,0,0,-0.1843937599066158
TRN-0665,15.8353,17.817945956290643,-1.9826459562906429,1.9826459562906429,Invalid,2,0,0,0,0,0.0316149192867136
TRN-0573,33.8011,35.78258117588519,-1.9814811758851931,1.9814811758851931,Valid,0,0,0,0,0,-0.1936673147616652
TRN-0933,14.744,16.718358170907614,-1.974358170907614,1.974358170907614,Invalid,1,0,0,0,0,-0.2632925523629001
TRN-0731,31.8838,33.85369295609243,-1.9698929560924299,1.9698929560924299,Valid,0,0,0,0,0,-0.6970688327901833
TRN-0937,45.3832,43.43219196211161,1.9510080378883927,1.9510080378883927,Valid,2,0,0,0,0,-0.3649717009754702
TRN-0311,29.9962,31.933576290512224,-1.9373762905122227,1.9373762905122227,Valid,0,0,0,0,0,-0.2057150916036079
TRN-0838,32.5568,30.628324296993668,1.9284757030063346,1.9284757030063346,Valid,1,0,0,0,0,0.44005564577132
TRN-0188,43.1445,45.07187911524913,-1.9273791152491313,1.9273791152491313,Valid,0,0,0,0,1,-0.417611991122655
TRN-0291,28.7441,30.6290010084137,-1.8849010084136992,1.8849010084136992,Invalid,0,0,0,0,0,-0.294743247688654
TRN-0848,32.1656,34.0504803838175,-1.884880383817503,1.884880383817503,Valid,0,0,0,0,0,-0.2386424296200608
TRN-0626,14.4551,16.328769195429782,-1.8736691954297822,1.8736691954297822,Invalid,1,0,0,0,0,-0.1456166178428395
TRN-0547,40.8455,38.9734958327609,1.8720041672391048,1.8720041672391048,Valid,1,0,0,0,0,-0.013773843442479
TRN-0816,19.8088,21.673775807695606,-1.864975807695604,1.864975807695604,Invalid,0,0,0,0,0,11.0496953647855
TRN-0676,45.2288,43.37138409450528,1.8574159054947188,1.8574159054947188,Valid,2,0,0,0,0,0.1981807968367093
TRN-0385,24.3642,22.508245193468507,1.8559548065314928,1.8559548065314928,Invalid,0,0,0,0,0,0.0022263760089913
TRN-0374,57.1092,55.27353536010304,1.8356646398969616,1.8356646398969616,Valid,0,0,0,0,0,0.0687062941524097
TRN-0179,51.3991,49.57153569334652,1.8275643066534784,1.8275643066534784,Valid,1,0,0,0,0,0.0503217203911123
TRN-0194,50.4105,48.587143883649695,1.823356116350304,1.823356116350304,Valid,1,0,0,0,0,0.0815004277768522
TRN-0026,28.9849,30.79826861837064,-1.8133686183706388,1.8133686183706388,Valid,1,0,0,0,0,0.0630739039794896
TRN-0205,35.013,36.8158791713778,-1.8028791713778034,1.8028791713778034,Valid,2,0,0,0,0,0.4508188984412928
TRN-0972,27.14,28.91751889738067,-1.77751889738067,1.77751889738067,Valid,0,0,0,0,0,-0.4514565314662579
TRN-0261,25.316,23.59120503675127,1.7247949632487298,1.7247949632487298,Valid,1,0,0,0,0,-0.0014596955378571
TRN-0171,22.1384,23.8591845852348,-1.7207845852347994,1.7207845852347994,Invalid,1,0,0,0,0,-0.2465540423981185
TRN-0419,39.859,41.571557772973144,-1.7125577729731418,1.7125577729731418,Valid,0,0,0,0,0,0.0110797034934329
TRN-0499,17.1232,18.82906474328213,-1.705864743282131,1.705864743282131,Invalid,2,0,0,0,0,10.88702213917152
TRN-0605,32.9308,31.226620402830005,1.7041795971699933,1.7041795971699933,Valid,0,0,0,0,0,-0.1617693702242668
TRN-0016,27.0879,25.38883585136619,1.6990641486338127,1.6990641486338127,Valid,2,0,0,0,0,-0.4499649577694704
TRN-0621,50.4377,52.13512938531472,-1.6974293853147202,1.6974293853147202,Valid,0,0,0,0,0,0.088405528761509
TRN-0552,40.9406,39.247202434372426,1.6933975656275777,1.6933975656275777,Valid,1,0,0,0,0,0.7008293114460358
TRN-0317,24.0015,25.683795957742873,-1.6822959577428733,1.6822959577428733,Valid,1,0,0,0,0,0.235875732218922
TRN-0631,18.9129,20.59071266952982,-1.6778126695298212,1.6778126695298212,Invalid,0,0,0,1,0,2.581680610657699
TRN-0218,23.7821,25.444031098657447,-1.6619310986574476,1.6619310986574476,Valid,0,0,0,0,0,-0.7415661574009995
TRN-0140,22.9154,21.269447141875492,1.6459528581245095,1.6459528581245095,Valid,1,0,0,0,1,0.0920807191838992
TRN-0604,21.4041,19.762817896937612,1.6412821030623874,1.6412821030623874,Invalid,2,0,0,0,0,0.5026803288891948
TRN-0250,29.2459,27.606909337803476,1.6389906621965231,1.6389906621965231,Valid,2,0,0,0,0,0.4899191610583813
TRN-0324,28.5561,26.927799519331806,1.6283004806681944,1.6283004806681944,Valid,2,0,0,0,1,-0.1065494864943339
TRN-0127,22.4999,20.882722837599434,1.6171771624005657,1.6171771624005657,Valid,1,0,0,0,0,-0.0284655696456717
TRN-0166,29.6963,28.085574549203958,1.6107254507960427,1.6107254507960427,Valid,0,0,0,0,0,-0.0071750011214071
TRN-0956,52.2691,53.87941573702557,-1.6103157370255659,1.6103157370255659,Valid,1,0,0,0,0,0.245013259436174
TRN-0805,30.0341,28.426422850831177,1.607677149168822,1.607677149168822,Invalid,0,0,0,0,0,0.084009380480559
TRN-0663,54.3652,52.77444943847651,1.5907505615234925,1.5907505615234925,Valid,1,0,0,0,0,0.2119780086486677
TRN-0298,26.9194,25.330116765712024,1.5892832342879757,1.5892832342879757,Valid,1,0,0,0,0,0.3398907189842219
TRN-0108,30.0347,31.62320846638972,-1.5885084663897189,1.5885084663897189,Invalid,0,0,0,0,0,0.0337342281695001
TRN-0553,29.8408,31.421456687500815,-1.580656687500813,1.580656687500813,Valid,2,0,0,0,0,0.2904253357005348
TRN-0333,28.5206,30.098143102164304,-1.5775431021643023,1.5775431021643023,Valid,1,0,0,0,0,0.0765903943573995
TRN-0077,36.4665,34.89448123831795,1.5720187616820525,1.5720187616820525,Invalid,1,0,0,0,0,0.4067592656283203
TRN-0252,44.555,46.12524165436054,-1.5702416543605437,1.5702416543605437,Valid,1,0,0,0,0,-0.0031467144373529
TRN-0400,17.266,18.827508715663004,-1.561508715663006,1.561508715663006,Valid,1,0,0,0,0,0.5417617571310949
TRN-0579,41.4578,43.01406460928981,-1.556264609289812,1.556264609289812,Valid,1,0,0,0,0,0.1541238389522803
TRN-0245,26.8149,25.27010305264137,1.5447969473586305,1.5447969473586305,Valid,1,0,0,0,0,0.0544667759699315
TRN-0554,36.6035,38.13105029177441,-1.5275502917744106,1.5275502917744106,Valid,2,0,0,0,0,-0.2039535496124713
TRN-0944,27.0719,28.5959096229054,-1.5240096229053997,1.5240096229053997,Invalid,1,0,0,1,0,5.472005743601102
TRN-0668,54.4579,52.93513045990327,1.522769540096732,1.522769540096732,Valid,0,0,0,0,0,-0.0347104910953177
TRN-0230,24.5185,22.997315706595305,1.5211842934046942,1.5211842934046942,Valid,2,0,0,0,0,0.1090579056271963
TRN-0414,27.6443,26.13765870033353,1.5066412996664695,1.5066412996664695,Valid,0,0,0,0,0,0.2379151452021517
TRN-0649,21.0209,19.517686429540458,1.5032135704595433,1.5032135704595433,Invalid,1,0,0,0,0,0.2386646726204198
TRN-0789,22.5855,21.082664635850616,1.5028353641493837,1.5028353641493837,Valid,2,0,0,0,0,-0.0432599007675023
TRN-0048,27.2094,25.707409545267783,1.5019904547322156,1.5019904547322156,Valid,0,0,0,0,0,0.0296680590034146
TRN-0530,42.1886,40.68768633164184,1.5009136683581588,1.5009136683581588,Valid,0,0,0,0,0,-0.202726443188471
TRN-0692,33.5906,35.08516203872736,-1.4945620387273593,1.4945620387273593,Invalid,0,0,0,0,0,-0.0572785810987213
TRN-0260,43.5279,42.043705489886165,1.4841945101138379,1.4841945101138379,Valid,2,0,0,0,0,-0.2573287628112108
TRN-0223,40.5369,42.020016487141284,-1.483116487141281,1.483116487141281,Valid,2,0,0,0,0,0.4545337300102652
TRN-0353,49.4057,50.881103541232676,-1.475403541232673,1.475403541232673,Valid,0,0,0,0,0,0.1009725110876686
TRN-0454,25.9462,24.476554588208483,1.469645411791518,1.469645411791518,Valid,0,0,0,0,0,0.2475758220029575
TRN-0714,32.4503,30.984729604561828,1.4655703954381707,1.4655703954381707,Valid,0,0,0,0,0,-0.2624764284709169
TRN-0354,18.4616,19.922481057108843,-1.4608810571088426,1.4608810571088426,Valid,1,0,0,0,0,0.563196659734011
TRN-0038,45.698,47.15039581498608,-1.452395814986076,1.452395814986076,Valid,1,0,0,0,0,0.2104388984437442
TRN-0217,17.1996,18.649126761621364,-1.4495267616213638,1.4495267616213638,Invalid,1,0,0,0,0,0.6136705531045461
TRN-0824,23.1994,21.758544299951723,1.440855700048278,1.440855700048278,Valid,2,0,0,0,0,-0.1555231822577241
TRN-0810,41.3538,39.91397168722043,1.439828312779568,1.439828312779568,Valid,1,0,0,0,0,0.3872176811222267
TRN-0958,19.7819,21.2163873967833,-1.4344873967833003,1.4344873967833003,Valid,2,0,0,0,0,-0.2684191736358219
TRN-0383,27.4728,26.042447315284715,1.4303526847152845,1.4303526847152845,Valid,0,0,0,0,1,0.1647410057137257
TRN-0372,41.0583,42.481987841833394,-1.4236878418333916,1.4236878418333916,Valid,0,0,0,0,0,-0.1857558349896422
TRN-0224,29.6462,28.23412078552174,1.4120792144782612,1.4120792144782612,Valid,1,0,0,0,0,0.3232024773669977
TRN-0538,31.1325,29.72062162416212,1.4118783758378797,1.4118783758378797,Valid,2,0,0,0,0,-0.1952594756158454
TRN-0846,28.84,30.233366949604818,-1.3933669496048182,1.3933669496048182,Valid,0,0,0,0,0,0.117644839751243
TRN-0575,31.127,29.733967428774022,1.3930325712259766,1.3930325712259766,Valid,2,0,0,0,0,0.1430937887506651
TRN-0148,33.6087,35.001078371734266,-1.3923783717342673,1.3923783717342673,Invalid,0,0,0,0,0,-0.0017724723501277
TRN-0874,20.8285,19.44090891900686,1.3875910809931398,1.3875910809931398,Invalid,1,0,0,0,0,-16.87624992142744
TRN-0211,41.8311,40.45311947979501,1.3779805202049857,1.3779805202049857,Valid,1,0,0,0,0,-0.2439617430426253
TRN-0401,30.3139,28.94030224996793,1.3735977500320686,1.3735977500320686,Invalid,2,0,0,0,0,-8.205978683552658
TRN-0440,18.5615,19.926331374958746,-1.3648313749587473,1.3648313749587473,Valid,0,0,0,0,0,0.0773952869070182
TRN-0738,34.8402,33.49446614318699,1.3457338568130126,1.3457338568130126,Valid,2,0,0,0,0,0.2523094952056439
TRN-0073,44.0862,42.74046877274997,1.3457312272500275,1.3457312272500275,Valid,2,0,0,0,0,-0.0546750631109453
TRN-0567,49.668,48.33260218569072,1.3353978143092817,1.3353978143092817,Valid,2,0,0,0,0,0.3833815007628907
TRN-0550,38.0388,36.711011643519974,1.3277883564800277,1.3277883564800277,Valid,0,0,0,0,0,0.1782935300263162
TRN-0322,18.7618,20.085986250743133,-1.3241862507431321,1.3241862507431321,Valid,2,0,0,0,0,-0.1379105907094011
TRN-0911,53.2861,54.60599313470171,-1.319893134701715,1.319893134701715,Valid,0,0,0,0,0,0.2565834504751159
TRN-0378,17.8967,16.577563964131265,1.319136035868734,1.319136035868734,Valid,2,0,0,0,0,0.6807324127359209
TRN-0989,28.7248,30.042889180644362,-1.318089180644364,1.318089180644364,Valid,0,0,0,0,0,-0.1861468484131947
TRN-0045,23.4447,22.128230719378656,1.3164692806213445,1.3164692806213445,Valid,0,0,0,0,0,-0.6510236852816007
TRN-0720,15.6642,16.977947728780027,-1.3137477287800277,1.3137477287800277,Valid,1,0,0,0,0,0.259990887615583
TRN-0235,49.1812,47.87286556216986,1.3083344378301334,1.3083344378301334,Valid,0,0,0,0,0,0.5130763076833222
TRN-0522,25.8008,27.105647436349045,-1.3048474363490463,1.3048474363490463,Valid,1,0,0,0,0,-0.02613051029968
TRN-0457,41.1164,39.818820421656206,1.2975795783437931,1.2975795783437931,Valid,0,0,0,0,0,-0.1928005027323749
TRN-0363,36.6662,37.96308314746824,-1.296883147468236,1.296883147468236,Valid,0,0,0,0,0,-0.5695551229180946
TRN-0513,13.1153,14.412002984329376,-1.296702984329377,1.296702984329377,Valid,1,0,0,0,0,0.1905078798776598
TRN-0142,31.2509,32.54117929090935,-1.2902792909093463,1.2902792909093463,Valid,0,0,0,0,0,-0.061914318781433
TRN-0687,57.2566,55.96844919266635,1.2881508073336505,1.2881508073336505,Valid,0,0,0,0,0,0.1823350060588673
TRN-0403,32.9934,34.28123809623427,-1.2878380962342675,1.2878380962342675,Valid,0,0,0,0,0,-0.3096645133187383
TRN-0281,25.6006,24.31797120330415,1.2826287966958496,1.2826287966958496,Valid,2,0,0,0,0,0.6826887001982627
TRN-0420,42.4476,41.17834192283875,1.269258077161254,1.269258077161254,Valid,0,0,0,0,0,0.2835647751191814
TRN-0071,46.5089,45.24125275988579,1.2676472401142078,1.2676472401142078,Valid,1,0,0,0,0,0.0323604918081699
TRN-0822,35.5169,34.25290195309059,1.263998046909407,1.263998046909407,Valid,2,0,0,0,0,-0.2990303744164073
TRN-0683,20.5016,19.239520768658792,1.2620792313412075,1.2620792313412075,Invalid,2,0,0,0,0,0.1050540769869741
TRN-0912,24.2523,23.000728457497214,1.2515715425027878,1.2515715425027878,Valid,0,0,0,0,0,-0.5231970237232986
TRN-0177,36.0541,37.29879239592599,-1.2446923959259948,1.2446923959259948,Valid,1,0,0,0,0,0.2760638585103461
TRN-0203,13.8386,15.07886221754865,-1.2402622175486506,1.2402622175486506,Invalid,1,0,0,0,0,0.8416958004280808
TRN-0105,43.6185,42.38116291795064,1.2373370820493577,1.2373370820493577,Valid,2,0,0,0,0,0.2653038780491279
TRN-0480,31.3074,32.54319440093804,-1.2357944009380404,1.2357944009380404,Valid,1,0,0,0,0,-0.1508406656991603
TRN-0181,48.7663,47.53073151788879,1.235568482111212,1.235568482111212,Invalid,1,0,0,0,0,-11.659629736643147
TRN-0190,24.475,23.245742114644273,1.2292578853557288,1.2292578853557288,Valid,2,0,0,0,0,-0.4128072657280377
TRN-0570,22.9629,21.74054181000541,1.2223581899945906,1.2223581899945906,Invalid,1,0,0,0,0,0.4707010372490998
TRN-0803,19.2982,20.51879690254885,-1.2205969025488486,1.2205969025488486,Valid,2,0,0,0,0,-0.5652744743165297
TRN-0059,55.6198,54.39984393677933,1.2199560632206712,1.2199560632206712,Invalid,2,0,0,0,0,9.378157250194723
TRN-0637,50.626,51.83901279149929,-1.2130127914992954,1.2130127914992954,Valid,2,0,0,0,0,0.1853568229330306
TRN-0107,16.8455,18.057432741834447,-1.2119327418344454,1.2119327418344454,Valid,1,0,0,0,0,-0.0544017665804368
TRN-0506,16.2324,17.44066552994783,-1.2082655299478304,1.2082655299478304,Valid,1,0,0,0,0,0.1604881216297151
TRN-0278,43.6644,42.47698148970505,1.187418510294954,1.187418510294954,Valid,0,0,0,0,0,-0.0886730459348061
TRN-0688,16.7953,17.9806768307973,-1.1853768307972992,1.1853768307972992,Valid,2,0,0,0,0,0.194895639828692
TRN-0519,18.5291,19.704595373677442,-1.1754953736774425,1.1754953736774425,Valid,2,0,0,0,0,0.4197325774400813
TRN-0925,27.0547,28.22833085112528,-1.173630851125278,1.173630851125278,Valid,0,0,0,0,1,0.3709727395358957
TRN-0907,20.0939,21.26744073992303,-1.1735407399230269,1.1735407399230269,Invalid,0,0,0,0,0,-0.2443992019920671
TRN-0655,34.4756,33.302299830603175,1.1733001693968248,1.1733001693968248,Valid,2,0,0,0,0,0.199533488261931
TRN-0104,21.7428,22.912945595145118,-1.1701455951451187,1.1701455951451187,Valid,0,0,0,0,0,0.2218755977726338
TRN-0887,38.4158,37.24745730120784,1.1683426987921592,1.1683426987921592,Valid,0,0,0,0,0,-0.2522995767435461
TRN-0832,37.7818,36.61391509695339,1.1678849030466054,1.1678849030466054,Valid,0,0,0,0,0,0.0439633337184695
TRN-0754,23.7153,24.88097833957459,-1.1656783395745904,1.1656783395745904,Valid,0,0,0,0,0,-0.1504113704175331
TRN-0084,49.5151,48.34951381535966,1.1655861846403397,1.1655861846403397,Valid,0,0,0,0,0,0.1810490950256422
TRN-0759,24.5945,23.439532856818666,1.1549671431813344,1.1549671431813344,Valid,2,0,0,0,0,0.0940025317811752
TRN-0159,22.5737,21.429111931159824,1.144588068840175,1.144588068840175,Valid,1,0,0,0,0,-0.3805234664434742
TRN-0392,18.7934,19.935489954885103,-1.1420899548851047,1.1420899548851047,Valid,2,0,0,0,0,-0.0761361628334622
TRN-0859,15.4105,14.276293459649619,1.134206540350382,1.134206540350382,Valid,1,0,0,0,0,0.0842152907452824
TRN-0099,38.4013,39.532652105917656,-1.1313521059176566,1.1313521059176566,Valid,2,0,0,0,0,0.0302857648322856
TRN-0076,19.0336,20.162785836449515,-1.1291858364495155,1.1291858364495155,Invalid,0,0,0,0,0,9.006646175716515
TRN-0175,40.8855,39.75860378250274,1.1268962174972614,1.1268962174972614,Valid,0,0,0,0,1,0.0547211815616091
TRN-0734,30.8448,29.724233012613173,1.1205669873868267,1.1205669873868267,Invalid,2,0,0,0,0,-7.206810148974728
TRN-0685,37.7807,36.66227524844127,1.1184247515587344,1.1184247515587344,Valid,0,0,0,0,0,-0.2743748583602006
TRN-0287,54.3793,55.49283217500654,-1.1135321750065401,1.1135321750065401,Valid,2,0,0,0,0,0.2733715045207496
TRN-0307,47.2164,48.32692180333822,-1.110521803338223,1.110521803338223,Valid,0,0,0,0,0,-0.1980638216403996
TRN-0752,43.4268,44.53238129798018,-1.10558129798018,1.10558129798018,Valid,1,0,0,0,0,-0.7276912818717172
TRN-0505,31.4153,30.3119854753977,1.1033145246022968,1.1033145246022968,Valid,2,0,0,0,0,-0.1687118216737673
TRN-0313,37.4216,36.32331027844923,1.0982897215507705,1.0982897215507705,Valid,2,0,0,0,0,0.2436107581419975
TRN-0056,51.0559,49.95826420508958,1.097635794910424,1.097635794910424,Valid,0,0,0,0,0,0.3901730688161713
TRN-0128,49.6719,50.76859575190422,-1.096695751904221,1.096695751904221,Valid,0,0,0,0,0,0.0801874245880469
TRN-0292,16.7479,17.844270373162146,-1.096370373162145,1.096370373162145,Invalid,0,0,0,0,0,-0.189352823236149
TRN-0274,31.928,30.83324074065706,1.0947592593429398,1.0947592593429398,Valid,1,0,0,0,0,-0.0307689548685132
TRN-0528,14.2798,15.370470176780545,-1.0906701767805451,1.0906701767805451,Valid,0,0,0,0,0,0.2782935418643175
TRN-0095,51.1599,50.07134937081547,1.0885506291845317,1.0885506291845317,Valid,1,0,0,0,0,-0.4867705393642012
TRN-0309,35.7241,36.80957386735605,-1.0854738673560504,1.0854738673560504,Valid,1,0,0,0,0,-0.2654216935048517
TRN-0716,14.421,15.503933346801354,-1.0829333468013544,1.0829333468013544,Valid,2,0,0,0,0,-0.0788665910945898
TRN-0444,21.4587,20.382321316657983,1.0763786833420177,1.0763786833420177,Valid,1,0,0,0,0,0.3255035045411087
TRN-0182,28.8087,29.87757818005354,-1.068878180053538,1.068878180053538,Valid,1,0,0,0,0,0.0833168043454435
TRN-0441,20.3549,21.42277025480498,-1.0678702548049799,1.0678702548049799,Valid,0,0,0,0,0,-0.2797724248140838
TRN-0421,30.0385,28.973990945124566,1.0645090548754332,1.0645090548754332,Valid,1,0,0,0,0,0.1746507423561532
TRN-0161,26.1738,25.11134411306063,1.0624558869393717,1.0624558869393717,Valid,2,0,0,0,0,-0.226768849886028
TRN-0412,46.3496,47.41013947942598,-1.0605394794259766,1.0605394794259766,Valid,1,0,0,0,0,0.006406084479007
TRN-0762,57.0971,56.0379566659758,1.0591433340241991,1.0591433340241991,Valid,0,0,0,0,0,0.2879645434115545
TRN-0733,34.3407,35.397155257905915,-1.0564552579059168,1.0564552579059168,Valid,0,0,0,0,0,-0.4522792589316093
TRN-0008,40.05,38.99418862477391,1.0558113752260851,1.0558113752260851,Valid,2,0,0,0,0,-0.275094334260924
TRN-0074,21.1645,20.115415948234798,1.0490840517652025,1.0490840517652025,Invalid,0,0,0,0,0,-0.0725617500302249
